Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 000BC6
Condition ID: 2
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp
1519949978320,1023,-9.96,0.63,-2.28,0,5319296
1519949978338,1023,-9.96,0.67,-2.24,46,5332580
1519949978349,1023,-9.96,0.63,-2.24,47,5345864
1519949978362,1023,-9.96,0.59,-2.20,47,5359108
1519949978373,1023,-10.00,0.67,-2.24,48,5372404
1519949978391,1023,-9.96,0.63,-2.24,49,5385712
1519949978402,1023,-9.96,0.63,-2.31,50,5399024
1519949978415,1023,-9.96,0.63,-2.28,51,5412348
1519949978428,1023,-9.96,0.71,-2.31,51,5425588
1519949978443,1023,-9.96,0.63,-2.28,52,5438888
1519949978457,1023,-9.92,0.59,-2.28,54,5452192
1519949978469,1023,-9.96,0.63,-2.24,54,5465448
1519949978480,1023,-9.96,0.63,-2.28,55,5478752
1519949978497,1023,-9.92,0.63,-2.31,56,5492044
1519949978508,1023,-9.96,0.63,-2.28,57,5505344
1519949978522,1023,-9.96,0.63,-2.28,57,5518600
1519949978534,1023,-9.96,0.63,-2.24,58,5531896
1519949978549,1023,-9.96,0.67,-2.20,60,5545188
1519949978563,1023,-10.00,0.63,-2.24,60,5558416
1519949978575,1023,-9.96,0.63,-2.20,61,5571720
1519949978588,1023,-9.96,0.59,-2.31,62,5585016
1519949978603,1023,-9.96,0.63,-2.24,63,5598308
1519949978616,1023,-9.96,0.67,-2.24,64,5611608
1519949978629,1023,-10.00,0.67,-2.24,65,5624884
1519949978641,1023,-9.96,0.63,-2.24,66,5638180
1519949978656,1023,-10.00,0.63,-2.31,66,5651396
1519949978668,1023,-9.96,0.63,-2.28,67,5664700
1519949978681,1023,-9.96,0.67,-2.24,69,5677988
1519949978694,1023,-9.96,0.63,-2.28,69,5691252
1519949978709,1023,-9.96,0.63,-2.24,70,5704536
1519949978722,1023,-10.00,0.71,-2.31,71,5717812
1519949978735,1023,-9.96,0.67,-2.24,72,5731124
1519949978748,1023,-9.96,0.67,-2.20,73,5744416
1519949978762,1023,-9.92,0.67,-2.28,74,5757712
1519949978775,1023,-10.00,0.63,-2.20,75,5771020
1519949978788,1023,-9.96,0.63,-2.28,76,5784324
1519949978800,1023,-10.00,0.67,-2.20,77,5797612
1519949978815,1023,-9.96,0.67,-2.24,78,5810936
1519949978828,1023,-9.96,0.63,-2.24,78,5824184
1519949978841,1023,-9.92,0.67,-2.20,80,5837476
1519949978853,1023,-9.96,0.63,-2.20,81,5850764
1519949978869,1023,-9.96,0.63,-2.24,81,5864016
1519949978882,1023,-10.00,0.63,-2.24,83,5877296
1519949978895,1023,-9.96,0.63,-2.20,83,5890552
1519949978907,1023,-9.96,0.63,-2.28,84,5903880
1519949978923,1023,-10.00,0.63,-2.20,85,5917176
1519949978936,1023,-9.92,0.59,-2.24,86,5930488
