Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 000BCB
Condition ID: 2
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp
1519950284228,510,-9.96,-1.02,-2.47,0,5319276
1519950284240,504,-9.96,-1.06,-2.43,45,5332540
1519950284253,485,-10.00,-1.06,-2.47,46,5345812
1519950284264,475,-9.96,-1.06,-2.55,46,5359060
1519950284281,476,-9.96,-1.10,-2.51,47,5372344
1519950284293,481,-9.92,-1.06,-2.51,48,5385632
1519950284306,480,-9.96,-1.06,-2.47,49,5398916
1519950284318,489,-9.96,-1.06,-2.55,50,5412208
1519950284333,494,-10.00,-1.06,-2.51,50,5425440
1519950284346,501,-9.96,-1.06,-2.55,52,5438732
1519950284359,505,-10.00,-1.02,-2.55,53,5452004
1519950284372,505,-10.00,-1.10,-2.47,53,5465236
1519950284384,511,-9.96,-1.06,-2.47,54,5478528
1519950284399,518,-10.00,-1.02,-2.47,55,5491800
1519950284412,520,-9.96,-1.06,-2.51,56,5505084
1519950284425,513,-10.00,-1.02,-2.51,57,5518328
1519950284438,518,-9.96,-1.06,-2.51,58,5531644
1519950284453,519,-10.00,-1.06,-2.47,59,5544912
1519950284466,520,-9.96,-1.06,-2.51,59,5558148
1519950284479,517,-9.92,-1.02,-2.51,60,5571424
1519950284490,510,-10.00,-1.02,-2.43,61,5584672
1519950284507,510,-9.96,-1.06,-2.47,62,5597972
1519950284519,520,-9.96,-1.06,-2.51,63,5611260
1519950284531,514,-10.00,-1.02,-2.47,64,5624528
1519950284544,508,-9.96,-1.02,-2.51,65,5637804
1519950284559,512,-9.96,-1.06,-2.51,65,5651040
1519950284572,515,-10.00,-1.02,-2.55,67,5664304
1519950284585,510,-9.96,-1.06,-2.47,68,5677604
1519950284598,512,-9.96,-1.06,-2.43,68,5690848
1519950284612,512,-10.00,-1.06,-2.51,69,5704120
1519950284625,514,-9.96,-1.02,-2.51,70,5717404
