Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 000BCD
Condition ID: 2
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp
1519950395945,980,-9.73,0.08,-2.71,0,5319280
1519950395957,980,-9.96,-0.04,-2.75,43,5332532
1519950395972,980,-9.96,0.00,-2.71,44,5345764
1519950395985,662,-9.92,-0.04,-2.71,45,5359024
1519950395997,78,-10.00,0.47,-2.75,46,5372296
1519950396010,0,-9.85,-0.27,-2.86,46,5385500
1519950396026,0,-10.20,1.02,-3.02,47,5398724
1519950396038,0,-10.36,0.63,-2.43,48,5411960
1519950396052,0,-9.65,-0.27,-2.67,49,5425196
1519950396063,36,-10.04,-0.20,-2.90,50,5438432
1519950396078,171,-9.53,0.31,-2.86,50,5451656
1519950396091,286,-9.81,0.00,-2.79,51,5464872
1519950396103,374,-9.53,-0.43,-2.67,53,5478140
1519950396116,442,-10.08,0.63,-2.63,53,5491368
1519950396128,515,-9.49,0.16,-2.51,54,5504640
1519950396144,751,-9.89,-0.43,-2.71,55,5517908
1519950396157,980,-10.28,0.59,-2.82,56,5531188
1519950396169,973,-9.89,0.27,-2.55,57,5544468
1519950396181,833,-9.77,-0.12,-2.67,57,5557692
1519950396198,948,-9.92,0.00,-2.59,58,5570944
1519950396210,980,-9.96,-0.04,-2.79,59,5584228
1519950396223,872,-10.12,-0.16,-2.71,60,5597520
1519950396235,885,-9.77,-0.04,-2.71,61,5610824
1519950396251,621,-10.00,-0.08,-2.67,62,5624108
1519950396263,507,-9.89,-0.04,-2.79,63,5637404
1519950396277,512,-9.92,0.12,-2.75,64,5650704
1519950396288,429,-10.51,-0.08,-2.67,65,5663996
1519950396304,389,-9.89,-0.08,-2.79,65,5677236
1519950396316,452,-9.92,-0.08,-2.75,67,5690508
1519950396329,495,-9.96,-0.08,-2.71,68,5703804
1519950396342,465,-9.89,0.08,-2.71,68,5717032
1519950396358,446,-10.24,0.51,-2.75,69,5730284
1519950396370,494,-10.40,-0.08,-2.82,70,5743596
1519950396382,490,-10.08,0.04,-2.71,71,5756884
1519950396394,575,-10.47,0.63,-2.79,72,5770164
1519950396410,560,-10.00,-0.20,-2.82,73,5783456
1519950396424,549,-9.81,-0.12,-2.82,74,5796736
1519950396436,592,-9.96,0.35,-2.75,75,5810028
1519950396448,540,-9.92,0.00,-2.90,76,5823244
1519950396463,533,-9.85,-0.31,-2.75,76,5836468
1519950396476,561,-9.57,0.16,-2.86,77,5849760
1519950396489,544,-9.89,-0.16,-2.75,79,5863036
1519950396501,537,-9.85,0.08,-2.75,79,5876252
1519950396518,524,-9.85,0.04,-2.71,80,5889524
1519950396529,501,-9.96,0.00,-2.79,81,5902780
1519950396541,526,-9.96,0.04,-2.75,82,5916052
1519950396554,607,-9.89,-0.04,-2.90,83,5929324
1519950396571,419,-9.81,0.16,-2.79,84,5942636
1519950396584,477,-10.08,0.35,-2.75,85,5955908
1519950396596,500,-9.89,-0.12,-2.71,86,5969196
1519950396608,368,-9.92,-0.16,-2.79,87,5982500
1519950396624,468,-9.92,0.04,-2.63,87,5995736
1519950396636,554,-9.61,-0.12,-2.79,89,6009004
1519950396648,362,-10.16,-0.16,-2.71,90,6022300
1519950396662,486,-10.36,-0.82,-2.75,90,6035548
1519950396676,555,-10.12,-0.04,-2.59,92,6048832
1519950396690,400,-10.00,-0.20,-2.71,93,6062112
1519950396701,530,-10.00,0.00,-2.67,93,6075280
1519950396714,554,-9.92,-0.12,-2.63,94,6088556
1519950396730,465,-10.04,-0.24,-2.71,95,6101828
1519950396743,609,-10.08,0.00,-2.71,96,6115064
1519950396756,648,-9.77,-0.04,-2.67,97,6128344
1519950396767,415,-9.96,-0.24,-2.63,98,6141624
1519950396780,571,-9.89,-0.08,-2.79,99,6154900
1519950396795,552,-10.00,-0.08,-2.79,100,6168180
1519950396808,356,-9.85,-0.12,-2.86,101,6181488
1519950396821,543,-9.85,-0.20,-2.75,102,6194784
1519950396834,523,-9.96,0.47,-2.82,103,6208088
1519950396848,377,-9.77,0.00,-2.71,104,6221328
1519950396862,589,-10.08,0.04,-2.71,104,6234568
1519950396874,591,-10.12,0.31,-2.75,106,6247864
1519950396886,448,-10.00,-0.04,-2.71,106,6261108
1519950396901,642,-9.81,-0.27,-2.75,107,6274420
1519950396915,694,-9.96,0.20,-2.82,109,6287736
1519950396927,397,-9.89,-0.20,-2.79,109,6300996
1519950396939,581,-9.65,0.16,-2.82,110,6314300
1519950396956,634,-9.45,-0.51,-2.82,111,6327592
1519950396968,434,-10.00,0.20,-2.82,112,6340892
1519950396980,604,-9.96,-0.04,-2.79,113,6354200
1519950396993,544,-9.81,0.16,-2.75,114,6367508
1519950397009,338,-10.16,0.16,-2.79,115,6380808
1519950397022,546,-9.26,0.12,-2.82,116,6394100
1519950397033,527,-9.89,0.04,-2.82,116,6407336
1519950397045,439,-9.96,0.24,-2.75,118,6420628
1519950397062,616,-9.96,0.35,-2.71,118,6433868
1519950397075,467,-9.96,0.12,-2.71,119,6447144
1519950397087,383,-10.04,-0.27,-2.63,120,6460428
1519950397100,577,-9.96,0.08,-2.67,121,6473748
1519950397115,549,-9.81,-0.16,-2.71,121,6486980
1519950397128,445,-9.81,-0.27,-2.82,123,6500280
1519950397140,622,-9.96,-0.39,-2.59,124,6513580
1519950397152,446,-8.83,-0.16,-2.86,124,6526820
1519950397169,376,-9.57,0.12,-2.79,125,6540120
