Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 000BED
Condition ID: 2
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp
1519952292029,661,-8.90,-2.47,-4.71,0,5319256
1519952292042,635,-9.06,-1.96,-4.63,45,5332516
1519952292053,610,-8.79,-2.35,-4.75,45,5345740
1519952292066,73,-8.94,-2.16,-4.90,46,5359004
1519952292081,443,-9.10,-1.80,-5.02,47,5372264
1519952292094,17,-9.18,-2.16,-4.82,48,5385532
1519952292107,324,-9.06,-2.31,-4.90,49,5398788
1519952292119,831,-9.06,-2.20,-4.98,49,5412016
1519952292134,979,-9.18,-2.16,-4.98,50,5425296
1519952292147,979,-9.06,-2.16,-4.98,51,5438568
1519952292159,979,-9.14,-2.12,-4.94,52,5451848
1519952292172,980,-9.18,-2.24,-4.90,53,5465112
1519952292189,873,-9.14,-2.24,-4.94,54,5478368
1519952292201,862,-9.02,-2.12,-4.94,55,5491636
1519952292213,662,-9.22,-2.08,-4.94,55,5504856
1519952292225,567,-9.18,-2.24,-4.90,57,5518116
1519952292238,745,-8.87,-2.24,-5.02,57,5531348
1519952292254,505,-9.06,-2.16,-4.94,58,5544612
1519952292266,415,-8.47,-1.73,-4.98,59,5557864
1519952292279,607,-9.06,-2.08,-4.94,60,5571148
1519952292292,512,-9.06,-1.96,-4.94,61,5584412
1519952292306,413,-8.90,-2.20,-4.94,61,5597636
1519952292320,498,-9.18,-2.08,-4.90,63,5610928
1519952292331,591,-8.94,-2.67,-4.79,64,5624212
1519952292344,475,-8.94,-2.20,-4.94,64,5637448
1519952292361,544,-8.87,-2.12,-4.94,65,5650744
1519952292372,616,-9.06,-2.12,-4.94,66,5664016
1519952292385,488,-9.06,-2.20,-4.94,67,5677288
1519952292398,562,-8.87,-2.24,-5.06,68,5690548
1519952292413,522,-9.26,-2.12,-4.94,69,5703836
1519952292426,446,-8.94,-2.51,-4.86,70,5717116
1519952292439,495,-9.22,-2.16,-4.86,70,5730328
1519952292450,514,-8.79,-1.84,-5.06,72,5743604
1519952292466,470,-9.18,-2.08,-4.94,72,5756820
1519952292479,572,-9.41,-2.04,-4.98,73,5770088
1519952292492,616,-9.10,-2.35,-4.94,75,5783376
1519952292505,537,-9.22,-1.92,-4.94,75,5796588
1519952292520,533,-8.63,-2.63,-5.06,76,5809872
1519952292532,511,-9.14,-1.77,-5.06,77,5823136
1519952292545,521,-9.14,-2.47,-5.02,78,5836396
1519952292558,663,-9.14,-2.47,-4.90,79,5849676
1519952292572,433,-9.10,-2.31,-5.06,80,5862944
1519952292586,440,-9.41,-1.96,-4.90,81,5876216
1519952292598,562,-8.94,-2.47,-5.02,82,5889496
1519952292610,367,-9.26,-2.43,-4.98,83,5902792
1519952292626,416,-9.61,-1.69,-4.86,84,5916060
1519952292639,538,-9.22,-1.80,-5.02,85,5929328
1519952292651,389,-9.22,-2.31,-4.90,86,5942620
1519952292664,453,-8.94,-2.00,-4.94,86,5955852
1519952292677,572,-9.22,-2.08,-4.86,87,5969116
1519952292691,472,-8.71,-2.35,-5.06,89,5982396
1519952292705,532,-9.10,-1.84,-4.94,89,5995604
1519952292717,543,-8.98,-2.12,-4.86,90,6008872
1519952292730,441,-9.02,-2.12,-4.94,91,6022156
