Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 000BF8
Condition ID: 2
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp
1519952996611,0,-9.34,2.12,-3.69,0,5318860
1519952996623,0,-9.34,2.12,-3.65,44,5332092
1519952996636,87,-9.34,2.08,-3.61,44,5345268
1519952996648,280,-9.30,2.16,-3.61,45,5358516
1519952996664,463,-8.90,2.12,-3.49,46,5371776
1519952996676,616,-10.08,2.75,-3.84,47,5385044
1519952996689,712,-9.65,2.28,-3.92,48,5398312
1519952996701,769,-9.49,2.16,-3.73,49,5411584
1519952996716,791,-9.22,1.65,-3.33,49,5424800
1519952996730,774,-8.90,2.63,-3.92,50,5438064
1519952996742,715,-9.30,1.65,-3.69,51,5451336
1519952996754,637,-8.59,1.73,-4.00,52,5464584
1519952996767,554,-9.14,1.77,-3.69,53,5477848
1519952996782,480,-9.10,2.59,-3.49,53,5491084
1519952996795,422,-9.81,2.67,-3.96,54,5504360
1519952996807,378,-9.18,2.00,-3.61,55,5517616
1519952996820,363,-9.34,2.16,-3.61,56,5530892
1519952996836,360,-9.45,2.12,-3.57,57,5544148
1519952996848,396,-9.41,2.08,-3.65,58,5557412
1519952996862,439,-9.53,2.04,-3.69,59,5570700
1519952996873,495,-9.38,2.16,-3.65,60,5583968
1519952996889,557,-9.38,2.24,-3.65,60,5597176
1519952996901,641,-9.22,1.45,-3.73,61,5610444
1519952996914,729,-9.22,2.24,-3.69,63,5623704
1519952996926,826,-9.30,2.35,-3.61,63,5636924
1519952996942,934,-9.34,2.04,-3.45,64,5650184
1519952996955,980,-9.38,2.08,-3.69,65,5663476
1519952996968,980,-9.34,2.24,-3.69,66,5676732
1519952996980,980,-9.41,2.12,-3.73,67,5689984
1519952996995,980,-9.34,2.12,-3.69,68,5703268
1519952997008,980,-9.26,2.08,-3.65,69,5716524
1519952997020,980,-9.22,2.28,-3.69,69,5729748
1519952997033,979,-8.94,2.43,-3.61,71,5743036
1519952997048,978,-9.30,2.16,-3.57,71,5756256
1519952997061,980,-9.30,2.28,-3.57,72,5769540
1519952997074,981,-9.26,1.88,-3.61,74,5782804
1519952997086,982,-9.49,1.80,-3.65,74,5796012
1519952997099,980,-8.94,2.47,-3.65,75,5809292
1519952997114,981,-9.41,2.31,-3.57,76,5822568
1519952997127,981,-9.02,2.12,-3.65,77,5835824
1519952997140,979,-9.57,1.65,-3.69,78,5849072
1519952997151,981,-8.98,2.08,-3.61,79,5862352
1519952997168,981,-9.26,2.12,-3.65,80,5875612
1519952997180,981,-9.45,2.00,-3.73,81,5888864
1519952997192,981,-9.06,2.24,-3.61,82,5902140
