Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 000C03
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp
1519953639112,115,-0.04,-0.04,-0.04,0,5316836
1519953639124,743,-0.04,-0.04,-0.04,47,5329048
1519953639137,1023,-0.04,-0.04,-0.04,47,5341260
1519953639149,273,-0.04,-0.04,-0.04,48,5353508
1519953639162,14,-0.04,-0.04,-0.04,49,5365716
1519953639173,867,-0.04,-0.04,-0.04,50,5377940
1519953639187,844,-0.04,-0.04,-0.04,50,5390144
1519953639198,186,-0.04,-0.04,-0.04,51,5402376
1519953639210,357,-0.04,-0.04,-0.04,52,5414612
1519953639223,910,-0.04,-0.04,-0.04,53,5426832
1519953639231,529,-0.04,-0.04,-0.04,53,5439012
1519953639244,156,-0.04,-0.04,-0.04,54,5451240
1519953639256,643,-0.04,-0.04,-0.04,55,5463476
1519953639268,960,-0.04,-0.04,-0.04,56,5475720
1519953639280,384,-0.04,-0.04,-0.04,56,5487908
1519953639293,106,-0.04,-0.04,-0.04,57,5500164
1519953639305,730,-0.04,-0.04,-0.04,58,5512396
1519953639317,954,-0.04,-0.04,-0.04,59,5524620
1519953639330,256,-0.04,-0.04,-0.04,60,5536844
1519953639342,116,-0.04,-0.04,-0.04,61,5549064
1519953639355,860,-0.04,-0.04,-0.04,61,5561260
1519953639366,860,-0.04,-0.04,-0.04,62,5573480
1519953639379,111,-0.04,-0.04,-0.04,63,5585708
1519953639392,297,-0.04,-0.04,-0.04,64,5597944
1519953639403,976,-0.04,-0.04,-0.04,65,5610164
1519953639416,527,-0.04,-0.04,-0.04,66,5622396
1519953639429,114,-0.04,-0.04,-0.04,66,5634576
1519953639441,640,-0.04,-0.04,-0.04,67,5646804
1519953639452,940,-0.04,-0.04,-0.04,68,5659044
1519953639465,391,-0.04,-0.04,-0.04,69,5671284
1519953639477,85,-0.04,-0.04,-0.04,70,5683516
1519953639490,725,-0.04,-0.04,-0.04,70,5695696
1519953639501,1023,-0.04,-0.04,-0.04,71,5707940
1519953639514,291,-0.04,-0.04,-0.04,72,5720196
1519953639527,1,-0.04,-0.04,-0.04,73,5732416
1519953639538,856,-0.04,-0.04,-0.04,74,5744624
1519953639550,929,-0.04,-0.04,-0.04,75,5756852
1519953639564,124,-0.04,-0.04,-0.04,75,5769032
1519953639576,299,-0.04,-0.04,-0.04,77,5781288
1519953639587,968,-0.04,-0.04,-0.04,77,5793476
1519953639600,513,-0.04,-0.04,-0.04,78,5805708
1519953639613,120,-0.04,-0.04,-0.04,79,5817936
1519953639624,642,-0.04,-0.04,-0.04,80,5830168
1519953639637,952,-0.04,-0.04,-0.04,81,5842396
1519953639650,419,-0.04,-0.04,-0.04,82,5854636
1519953639661,89,-0.04,-0.04,-0.04,82,5866824
1519953639674,722,-0.04,-0.04,-0.04,84,5879040
1519953639686,954,-0.04,-0.04,-0.04,84,5891232
1519953639698,262,-0.04,-0.04,-0.04,85,5903460
1519953639710,5,-0.04,-0.04,-0.04,86,5915672
1519953639722,826,-0.04,-0.04,-0.04,87,5927880
1519953639735,962,-0.04,-0.04,-0.04,88,5940140
1519953639747,116,-0.04,-0.04,-0.04,88,5952320
1519953639759,271,-0.04,-0.04,-0.04,89,5964552
1519953639772,885,-0.04,-0.04,-0.04,90,5976784
1519953639785,538,-0.04,-0.04,-0.04,91,5989016
1519953639796,167,-0.04,-0.04,-0.04,92,6001276
1519953639808,622,-0.04,-0.04,-0.04,93,6013488
1519953639821,942,-0.04,-0.04,-0.04,94,6025724
1519953639833,406,-0.04,-0.04,-0.04,95,6037964
1519953639846,92,-0.04,-0.04,-0.04,95,6050156
1519953639858,717,-0.04,-0.04,-0.04,96,6062376
1519953639870,949,-0.04,-0.04,-0.04,97,6074608
1519953639883,301,-0.04,-0.04,-0.04,98,6086840
1519953639895,110,-0.04,-0.04,-0.04,99,6099080
