Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 00394F
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520649421152,530,-0.04,-0.04,-0.04,0,5316764,datapoint
1520649421182,519,-0.04,-0.04,-0.04,172,5339956,datapoint
1520649421200,514,-0.04,-0.04,-0.04,174,5363188,datapoint
1520649421216,509,-0.04,-0.04,-0.04,177,5386416,datapoint
1520649421231,507,-0.04,-0.04,-0.04,177,5398596,datapoint
1520649421246,505,-0.04,-0.04,-0.04,179,5410836,datapoint
1520649421263,500,-0.04,-0.04,-0.04,177,5434036,datapoint
1520649421279,498,-0.04,-0.04,-0.04,176,5446268,datapoint
1520649421295,496,-0.04,-0.04,-0.04,174,5458480,datapoint
1520649421311,492,-0.04,-0.04,-0.04,173,5481712,datapoint
1520649421327,490,-0.04,-0.04,-0.04,171,5493932,datapoint
1520649421343,488,-0.04,-0.04,-0.04,170,5506152,datapoint
1520649421360,484,-0.04,-0.04,-0.04,168,5529376,datapoint
1520649421375,482,-0.04,-0.04,-0.04,167,5541612,datapoint
1520649421391,480,-0.04,-0.04,-0.04,166,5553828,datapoint
1520649421407,476,-0.04,-0.04,-0.04,165,5577056,datapoint
1520649421423,474,-0.04,-0.04,-0.04,163,5589296,datapoint
1520649421440,472,-0.04,-0.04,-0.04,162,5601532,datapoint
1520649421455,469,-0.04,-0.04,-0.04,160,5624748,datapoint
1520649421471,467,-0.04,-0.04,-0.04,159,5636972,datapoint
1520649421487,465,-0.04,-0.04,-0.04,157,5649188,datapoint
1520649421503,461,-0.04,-0.04,-0.04,156,5672416,datapoint
1520649421519,460,-0.04,-0.04,-0.04,154,5684644,datapoint
1520649421535,458,-0.04,-0.04,-0.04,153,5696872,datapoint
1520649421552,455,-0.04,-0.04,-0.04,151,5720120,datapoint
1520649421567,453,-0.04,-0.04,-0.04,150,5732332,datapoint
1520649421582,451,-0.04,-0.04,-0.04,148,5744556,datapoint
1520649421599,448,-0.04,-0.04,-0.04,147,5767788,datapoint
1520649421615,446,-0.04,-0.04,-0.04,146,5780028,datapoint
1520649421630,444,-0.04,-0.04,-0.04,144,5792260,datapoint
1520649421647,441,-0.04,-0.04,-0.04,143,5815484,datapoint
1520649421662,440,-0.04,-0.04,-0.04,141,5827708,datapoint
1520649421679,438,-0.04,-0.04,-0.04,140,5839944,datapoint
1520649421695,435,-0.04,-0.04,-0.04,138,5863168,datapoint
1520649421711,433,-0.04,-0.04,-0.04,137,5875396,datapoint
1520649421743,430,-0.04,-0.04,-0.04,135,5898620,datapoint
1520649421760,427,-0.04,-0.04,-0.04,132,5921860,datapoint
1520649421774,424,-0.04,-0.04,-0.04,131,5945072,datapoint
1520649421790,422,-0.04,-0.04,-0.04,130,5957292,datapoint
1520649421808,420,-0.04,-0.04,-0.04,129,5969504,datapoint
1520649421823,417,-0.04,-0.04,-0.04,127,5992752,datapoint
1520649421838,416,-0.04,-0.04,-0.04,126,6004976,datapoint
1520649421855,414,-0.04,-0.04,-0.04,124,6017208,datapoint
1520649421870,411,-0.04,-0.04,-0.04,123,6040420,datapoint
1520649421887,410,-0.04,-0.04,-0.04,121,6052648,datapoint
1520649421903,408,-0.04,-0.04,-0.04,120,6064872,datapoint
1520649421918,405,-0.04,-0.04,-0.04,118,6088092,datapoint
1520649421936,404,-0.04,-0.04,-0.04,117,6100336,datapoint
1520649421967,401,-0.04,-0.04,-0.04,115,6123576,datapoint
1520649421982,398,-0.04,-0.04,-0.04,113,6146792,datapoint
1520649421999,395,-0.04,-0.04,-0.04,111,6170028,datapoint
1520649422014,394,-0.04,-0.04,-0.04,110,6182256,datapoint
1520649422030,393,-0.04,-0.04,-0.04,108,6194496,datapoint
1520649422047,390,-0.04,-0.04,-0.04,107,6217728,datapoint
1520649422063,388,-0.04,-0.04,-0.04,105,6229960,datapoint
1520649422079,387,-0.04,-0.04,-0.04,104,6242184,datapoint
1520649422096,384,-0.04,-0.04,-0.04,102,6265408,datapoint
1520649422111,383,-0.04,-0.04,-0.04,101,6277632,datapoint
1520649422126,382,-0.04,-0.04,-0.04,99,6289864,datapoint
1520649422143,379,-0.04,-0.04,-0.04,98,6313060,datapoint
1520649422158,378,-0.04,-0.04,-0.04,96,6325268,datapoint
1520649422174,376,-0.04,-0.04,-0.04,96,6337408,datapoint
1520649422191,374,-0.04,-0.04,-0.04,94,6360600,datapoint
1520649422207,373,-0.04,-0.04,-0.04,93,6372808,datapoint
1520649422223,371,-0.04,-0.04,-0.04,91,6385016,datapoint
1520649422239,369,-0.04,-0.04,-0.04,90,6408252,datapoint
1520649422254,368,-0.04,-0.04,-0.04,88,6420440,datapoint
1520649422271,366,-0.04,-0.04,-0.04,87,6432644,datapoint
1520649422287,364,-0.04,-0.04,-0.04,85,6455832,datapoint
1520649422303,363,-0.04,-0.04,-0.04,84,6468032,datapoint
1520649422319,362,-0.04,-0.04,-0.04,82,6480260,datapoint
