Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 003950
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520649437117,530,-0.04,-0.04,-0.04,0,5316764,datapoint
1520649437148,519,-0.04,-0.04,-0.04,161,5339956,datapoint
1520649437165,514,-0.04,-0.04,-0.04,164,5363188,datapoint
1520649437196,509,-0.04,-0.04,-0.04,165,5386416,datapoint
1520649437212,505,-0.04,-0.04,-0.04,168,5409624,datapoint
1520649437228,500,-0.04,-0.04,-0.04,169,5432860,datapoint
1520649437244,498,-0.04,-0.04,-0.04,171,5445092,datapoint
1520649437259,496,-0.04,-0.04,-0.04,172,5457332,datapoint
1520649437275,492,-0.04,-0.04,-0.04,174,5480552,datapoint
1520649437293,490,-0.04,-0.04,-0.04,175,5492780,datapoint
1520649437308,488,-0.04,-0.04,-0.04,177,5504996,datapoint
1520649437323,484,-0.04,-0.04,-0.04,178,5528228,datapoint
1520649437340,482,-0.04,-0.04,-0.04,178,5540400,datapoint
1520649437355,480,-0.04,-0.04,-0.04,177,5552640,datapoint
1520649437371,476,-0.04,-0.04,-0.04,175,5575876,datapoint
1520649437387,474,-0.04,-0.04,-0.04,174,5588112,datapoint
1520649437404,472,-0.04,-0.04,-0.04,172,5600336,datapoint
1520649437419,469,-0.04,-0.04,-0.04,171,5623560,datapoint
1520649437436,467,-0.04,-0.04,-0.04,170,5635780,datapoint
1520649437468,463,-0.04,-0.04,-0.04,168,5659000,datapoint
1520649437484,460,-0.04,-0.04,-0.04,165,5682232,datapoint
1520649437500,456,-0.04,-0.04,-0.04,164,5705452,datapoint
1520649437516,455,-0.04,-0.04,-0.04,162,5717676,datapoint
1520649437532,453,-0.04,-0.04,-0.04,161,5729904,datapoint
1520649437547,449,-0.04,-0.04,-0.04,159,5753156,datapoint
1520649437564,448,-0.04,-0.04,-0.04,158,5765388,datapoint
1520649437581,446,-0.04,-0.04,-0.04,156,5777616,datapoint
1520649437596,443,-0.04,-0.04,-0.04,155,5800832,datapoint
1520649437611,441,-0.04,-0.04,-0.04,153,5813052,datapoint
1520649437627,439,-0.04,-0.04,-0.04,153,5825232,datapoint
1520649437644,436,-0.04,-0.04,-0.04,151,5848468,datapoint
1520649437659,434,-0.04,-0.04,-0.04,150,5860696,datapoint
1520649437676,433,-0.04,-0.04,-0.04,148,5872936,datapoint
1520649437691,430,-0.04,-0.04,-0.04,147,5896168,datapoint
1520649437708,428,-0.04,-0.04,-0.04,145,5908400,datapoint
1520649437723,426,-0.04,-0.04,-0.04,144,5920624,datapoint
1520649437739,423,-0.04,-0.04,-0.04,142,5943844,datapoint
1520649437756,422,-0.04,-0.04,-0.04,141,5956072,datapoint
1520649437771,420,-0.04,-0.04,-0.04,139,5968328,datapoint
1520649437787,417,-0.04,-0.04,-0.04,138,5991548,datapoint
1520649437803,416,-0.04,-0.04,-0.04,136,6003776,datapoint
1520649437820,414,-0.04,-0.04,-0.04,135,6016012,datapoint
1520649437835,411,-0.04,-0.04,-0.04,134,6039220,datapoint
1520649437852,410,-0.04,-0.04,-0.04,132,6051448,datapoint
1520649437883,407,-0.04,-0.04,-0.04,131,6074672,datapoint
1520649437900,404,-0.04,-0.04,-0.04,128,6097892,datapoint
1520649437915,401,-0.04,-0.04,-0.04,126,6121108,datapoint
1520649437932,400,-0.04,-0.04,-0.04,125,6133320,datapoint
1520649437948,398,-0.04,-0.04,-0.04,123,6145548,datapoint
1520649437964,395,-0.04,-0.04,-0.04,122,6168780,datapoint
1520649437981,394,-0.04,-0.04,-0.04,120,6181004,datapoint
1520649437995,392,-0.04,-0.04,-0.04,119,6193232,datapoint
1520649438011,390,-0.04,-0.04,-0.04,117,6216456,datapoint
1520649438028,388,-0.04,-0.04,-0.04,117,6228648,datapoint
1520649438043,387,-0.04,-0.04,-0.04,115,6240880,datapoint
1520649438059,384,-0.04,-0.04,-0.04,114,6264112,datapoint
1520649438075,383,-0.04,-0.04,-0.04,112,6276348,datapoint
1520649438091,382,-0.04,-0.04,-0.04,111,6288588,datapoint
1520649438107,379,-0.04,-0.04,-0.04,109,6311796,datapoint
1520649438124,378,-0.04,-0.04,-0.04,108,6324020,datapoint
1520649438140,377,-0.04,-0.04,-0.04,106,6336248,datapoint
1520649438156,374,-0.04,-0.04,-0.04,105,6359472,datapoint
1520649438172,373,-0.04,-0.04,-0.04,103,6371708,datapoint
1520649438202,370,-0.04,-0.04,-0.04,102,6394932,datapoint
1520649438219,368,-0.04,-0.04,-0.04,99,6418132,datapoint
1520649438236,366,-0.04,-0.04,-0.04,98,6441328,datapoint
1520649438251,364,-0.04,-0.04,-0.04,96,6453548,datapoint
1520649438267,363,-0.04,-0.04,-0.04,95,6465760,datapoint
1520649438283,361,-0.04,-0.04,-0.04,93,6488948,datapoint
1520649438299,360,-0.04,-0.04,-0.04,92,6501144,datapoint
1520649438316,359,-0.04,-0.04,-0.04,90,6513336,datapoint
1520649438331,357,-0.04,-0.04,-0.04,89,6536544,datapoint
1520649438347,356,-0.04,-0.04,-0.04,87,6548768,datapoint
1520649438364,355,-0.04,-0.04,-0.04,86,6560976,datapoint
1520649438379,352,-0.04,-0.04,-0.04,84,6584172,datapoint
1520649438396,351,-0.04,-0.04,-0.04,83,6596372,datapoint
1520649438411,350,-0.04,-0.04,-0.04,81,6608584,datapoint
1520649438427,348,-0.04,-0.04,-0.04,81,6631736,datapoint
1520649438443,347,-0.04,-0.04,-0.04,79,6643948,datapoint
1520649438459,346,-0.04,-0.04,-0.04,78,6656144,datapoint
1520649438475,344,-0.04,-0.04,-0.04,76,6679328,datapoint
1520649438491,343,-0.04,-0.04,-0.04,75,6691528,datapoint
1520649438508,342,-0.04,-0.04,-0.04,73,6703732,datapoint
1520649438523,340,-0.04,-0.04,-0.04,72,6726932,datapoint
1520649438539,339,-0.04,-0.04,-0.04,70,6739144,datapoint
1520649438570,337,-0.04,-0.04,-0.04,69,6762332,datapoint
1520649438587,335,-0.04,-0.04,-0.04,66,6785532,datapoint
1520649438603,333,-0.04,-0.04,-0.04,64,6808756,datapoint
1520649438619,332,-0.04,-0.04,-0.04,63,6820952,datapoint
1520649438635,331,-0.04,-0.04,-0.04,62,6833156,datapoint
1520649438651,329,-0.04,-0.04,-0.04,60,6856348,datapoint
1520649438667,328,-0.04,-0.04,-0.04,59,6868552,datapoint
1520649438684,327,-0.04,-0.04,-0.04,57,6880752,datapoint
1520649438700,325,-0.04,-0.04,-0.04,56,6903972,datapoint
1520649438715,324,-0.04,-0.04,-0.04,54,6916168,datapoint
1520649438731,323,-0.04,-0.04,-0.04,53,6928376,datapoint
1520649438747,322,-0.04,-0.04,-0.04,51,6951568,datapoint
1520649438762,321,-0.04,-0.04,-0.04,50,6963760,datapoint
1520649438779,320,-0.04,-0.04,-0.04,49,6975968,datapoint
1520649438795,318,-0.04,-0.04,-0.04,47,6999172,datapoint
1520649438811,317,-0.04,-0.04,-0.04,46,7011372,datapoint
1520649438827,316,-0.04,-0.04,-0.04,45,7023560,datapoint
1520649438843,315,-0.04,-0.04,-0.04,43,7046764,datapoint
