Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004E80
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520974919710,558,-0.04,-0.04,-0.04,0,5316764,datapoint
1520974919726,550,-0.04,-0.04,-0.04,51,5328960,datapoint
1520974919742,563,-0.04,-0.04,-0.04,53,5352180,datapoint
1520974919758,554,-0.04,-0.04,-0.04,54,5364376,datapoint
1520974919773,550,-0.04,-0.04,-0.04,55,5376572,datapoint
1520974919789,543,-0.04,-0.04,-0.04,57,5399792,datapoint
1520974919805,540,-0.04,-0.04,-0.04,58,5411992,datapoint
1520974919822,539,-0.04,-0.04,-0.04,60,5424192,datapoint
1520974919837,530,-0.04,-0.04,-0.04,61,5447380,datapoint
1520974919853,528,-0.04,-0.04,-0.04,63,5459600,datapoint
1520974919869,553,-0.04,-0.04,-0.04,64,5471796,datapoint
1520974919887,542,-0.04,-0.04,-0.04,66,5494992,datapoint
1520974919901,522,-0.04,-0.04,-0.04,67,5507192,datapoint
1520974919917,520,-0.04,-0.04,-0.04,68,5519396,datapoint
1520974919933,517,-0.04,-0.04,-0.04,70,5542576,datapoint
1520974919950,527,-0.04,-0.04,-0.04,71,5554776,datapoint
1520974919983,512,-0.04,-0.04,-0.04,72,5577976,datapoint
1520974919997,509,-0.04,-0.04,-0.04,75,5601172,datapoint
1520974920014,506,-0.04,-0.04,-0.04,76,5624372,datapoint
1520974920029,504,-0.04,-0.04,-0.04,78,5636576,datapoint
1520974920045,503,-0.04,-0.04,-0.04,79,5648780,datapoint
1520974920062,510,-0.04,-0.04,-0.04,81,5672000,datapoint
1520974920077,498,-0.04,-0.04,-0.04,82,5684196,datapoint
1520974920093,506,-0.04,-0.04,-0.04,84,5696392,datapoint
