Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004E8F
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520975795884,null,null,null,null,null,null,start experiment
1520975796388,551,-0.04,-0.04,-0.04,0,5316764,datapoint
1520975796420,540,-0.04,-0.04,-0.04,157,5339944,datapoint
1520975796435,548,-0.04,-0.04,-0.04,159,5363176,datapoint
1520975796467,539,-0.04,-0.04,-0.04,161,5386416,datapoint
1520975796483,534,-0.04,-0.04,-0.04,164,5409628,datapoint
1520975796499,529,-0.04,-0.04,-0.04,165,5432860,datapoint
1520975796515,527,-0.04,-0.04,-0.04,167,5445092,datapoint
1520975796532,525,-0.04,-0.04,-0.04,168,5457332,datapoint
1520975796547,521,-0.04,-0.04,-0.04,170,5480552,datapoint
1520975796564,519,-0.04,-0.04,-0.04,171,5492784,datapoint
1520975796579,517,-0.04,-0.04,-0.04,172,5505008,datapoint
1520975796596,513,-0.04,-0.04,-0.04,174,5528236,datapoint
1520975796611,511,-0.04,-0.04,-0.04,176,5540468,datapoint
1520975796627,509,-0.04,-0.04,-0.04,177,5552692,datapoint
1520975796643,506,-0.04,-0.04,-0.04,177,5575864,datapoint
1520975796660,504,-0.04,-0.04,-0.04,178,5588108,datapoint
1520975796691,500,-0.04,-0.04,-0.04,177,5611324,datapoint
1520975796707,497,-0.04,-0.04,-0.04,174,5634552,datapoint
1520975796724,495,-0.04,-0.04,-0.04,172,5657780,datapoint
1520975796739,490,-0.04,-0.04,-0.04,171,5669992,datapoint
1520975796755,488,-0.04,-0.04,-0.04,170,5682232,datapoint
1520975796771,485,-0.04,-0.04,-0.04,168,5705452,datapoint
1520975796787,483,-0.04,-0.04,-0.04,167,5717676,datapoint
1520975796803,481,-0.04,-0.04,-0.04,165,5729908,datapoint
1520975796819,487,-0.04,-0.04,-0.04,164,5753152,datapoint
1520975796835,477,-0.04,-0.04,-0.04,162,5765388,datapoint
1520975796852,475,-0.04,-0.04,-0.04,161,5777616,datapoint
1520975796867,472,-0.04,-0.04,-0.04,159,5800832,datapoint
1520975796883,476,-0.04,-0.04,-0.04,159,5813004,datapoint
1520975796899,469,-0.04,-0.04,-0.04,157,5825220,datapoint
1520975796916,465,-0.04,-0.04,-0.04,156,5848468,datapoint
1520975796931,464,-0.04,-0.04,-0.04,154,5860696,datapoint
1520975796948,468,-0.04,-0.04,-0.04,153,5872936,datapoint
1520975796963,460,-0.04,-0.04,-0.04,151,5896164,datapoint
1520975796978,458,-0.04,-0.04,-0.04,150,5908400,datapoint
1520975796995,457,-0.04,-0.04,-0.04,148,5920628,datapoint
1520975797012,454,-0.04,-0.04,-0.04,147,5943848,datapoint
1520975797027,452,-0.04,-0.04,-0.04,145,5956072,datapoint
1520975797043,451,-0.04,-0.04,-0.04,144,5968328,datapoint
1520975797059,448,-0.04,-0.04,-0.04,142,5991548,datapoint
1520975797075,447,-0.04,-0.04,-0.04,141,6003776,datapoint
1520975797090,450,-0.04,-0.04,-0.04,140,6016008,datapoint
1520975797107,442,-0.04,-0.04,-0.04,138,6039220,datapoint
1520975797123,441,-0.04,-0.04,-0.04,137,6051460,datapoint
1520975797155,438,-0.04,-0.04,-0.04,136,6074692,datapoint
1520975797171,435,-0.04,-0.04,-0.04,133,6097908,datapoint
1520975797188,433,-0.04,-0.04,-0.04,132,6121124,datapoint
1520975797203,432,-0.04,-0.04,-0.04,130,6133348,datapoint
1520975797219,430,-0.04,-0.04,-0.04,129,6145572,datapoint
1520975797234,427,-0.04,-0.04,-0.04,127,6168816,datapoint
1520975797251,426,-0.04,-0.04,-0.04,126,6181048,datapoint
1520975797266,427,-0.04,-0.04,-0.04,124,6193272,datapoint
1520975797283,422,-0.04,-0.04,-0.04,123,6216492,datapoint
1520975797298,420,-0.04,-0.04,-0.04,121,6228720,datapoint
1520975797315,419,-0.04,-0.04,-0.04,120,6240948,datapoint
1520975797330,416,-0.04,-0.04,-0.04,119,6264176,datapoint
1520975797346,415,-0.04,-0.04,-0.04,117,6276416,datapoint
1520975797363,414,-0.04,-0.04,-0.04,116,6288656,datapoint
1520975797379,411,-0.04,-0.04,-0.04,114,6311888,datapoint
1520975797395,410,-0.04,-0.04,-0.04,113,6324112,datapoint
1520975797411,409,-0.04,-0.04,-0.04,111,6336336,datapoint
1520975797427,406,-0.04,-0.04,-0.04,110,6359556,datapoint
1520975797443,405,-0.04,-0.04,-0.04,108,6371788,datapoint
1520975797458,404,-0.04,-0.04,-0.04,107,6384024,datapoint
1520975797475,401,-0.04,-0.04,-0.04,105,6407244,datapoint
1520975797490,400,-0.04,-0.04,-0.04,104,6419472,datapoint
1520975797507,398,-0.04,-0.04,-0.04,102,6431692,datapoint
1520975797523,396,-0.04,-0.04,-0.04,101,6454912,datapoint
1520975797538,395,-0.04,-0.04,-0.04,99,6467124,datapoint
1520975797556,394,-0.04,-0.04,-0.04,99,6479284,datapoint
1520975797570,392,-0.04,-0.04,-0.04,97,6502496,datapoint
1520975797587,390,-0.04,-0.04,-0.04,96,6514704,datapoint
1520975797603,388,-0.04,-0.04,-0.04,94,6537892,datapoint
1520975797619,387,-0.04,-0.04,-0.04,93,6550108,datapoint
1520975797635,386,-0.04,-0.04,-0.04,91,6562308,datapoint
1520975797651,384,-0.04,-0.04,-0.04,90,6585516,datapoint
1520975797666,383,-0.04,-0.04,-0.04,88,6597712,datapoint
1520975797682,382,-0.04,-0.04,-0.04,87,6609928,datapoint
1520975797700,379,-0.04,-0.04,-0.04,85,6633112,datapoint
1520975797715,378,-0.04,-0.04,-0.04,84,6645312,datapoint
1520975797731,377,-0.04,-0.04,-0.04,82,6657512,datapoint
1520975797746,375,-0.04,-0.04,-0.04,81,6680744,datapoint
1520975797762,374,-0.04,-0.04,-0.04,80,6692944,datapoint
1520975797779,373,-0.04,-0.04,-0.04,78,6705136,datapoint
1520975797795,371,-0.04,-0.04,-0.04,77,6728344,datapoint
1520975797810,370,-0.04,-0.04,-0.04,75,6740536,datapoint
1520975797827,366,-0.04,-0.04,-0.04,74,6752744,datapoint
1520975797843,367,-0.04,-0.04,-0.04,72,6775960,datapoint
1520975797859,366,-0.04,-0.04,-0.04,71,6788160,datapoint
1520975797875,365,-0.04,-0.04,-0.04,69,6800376,datapoint
1520975797892,363,-0.04,-0.04,-0.04,69,6823512,datapoint
1520975797907,362,-0.04,-0.04,-0.04,67,6835704,datapoint
1520975797924,361,-0.04,-0.04,-0.04,66,6847920,datapoint
1520975797939,359,-0.04,-0.04,-0.04,64,6871144,datapoint
1520975797955,358,-0.04,-0.04,-0.04,63,6883344,datapoint
1520975797971,354,-0.04,-0.04,-0.04,61,6895536,datapoint
1520975797986,355,-0.04,-0.04,-0.04,60,6918720,datapoint
1520975798003,352,-0.04,-0.04,-0.04,59,6930936,datapoint
1520975798019,353,-0.04,-0.04,-0.04,57,6943156,datapoint
1520975798034,351,-0.04,-0.04,-0.04,56,6966360,datapoint
1520975798050,350,-0.04,-0.04,-0.04,54,6978568,datapoint
1520975798082,349,-0.04,-0.04,-0.04,53,7001756,datapoint
1520975798099,347,-0.04,-0.04,-0.04,50,7024960,datapoint
1520975798114,345,-0.04,-0.04,-0.04,48,7048160,datapoint
1520975798131,344,-0.04,-0.04,-0.04,47,7060372,datapoint
1520975798146,339,-0.04,-0.04,-0.04,45,7072572,datapoint
1520975798162,341,-0.04,-0.04,-0.04,44,7095776,datapoint
1520975798179,340,-0.04,-0.04,-0.04,42,7107992,datapoint
1520975798194,340,-0.04,-0.04,-0.04,41,7120220,datapoint
1520975798211,338,-0.04,-0.04,-0.04,40,7143436,datapoint
1520975798226,337,-0.04,-0.04,-0.04,39,7155624,datapoint
1520975798243,336,-0.04,-0.04,-0.04,37,7167824,datapoint
1520975798258,330,-0.04,-0.04,-0.04,36,7191048,datapoint
1520975798274,334,-0.04,-0.04,-0.04,34,7203264,datapoint
1520975798290,328,-0.04,-0.04,-0.04,33,7215484,datapoint
1520975798306,332,-0.04,-0.04,-0.04,31,7238700,datapoint
1520975798322,325,-0.04,-0.04,-0.04,30,7250888,datapoint
1520975798339,330,-0.04,-0.04,-0.04,28,7263080,datapoint
1520975798355,329,-0.04,-0.04,-0.04,27,7286276,datapoint
1520975798371,328,-0.04,-0.04,-0.04,25,7298484,datapoint
1520975798403,327,-0.04,-0.04,-0.04,24,7321696,datapoint
1520975798418,325,-0.04,-0.04,-0.04,21,7344896,datapoint
1520975798434,323,-0.04,-0.04,-0.04,20,7368088,datapoint
1520975798451,323,-0.04,-0.04,-0.04,18,7380312,datapoint
1520975798467,316,-0.04,-0.04,-0.04,17,7392520,datapoint
1520975798482,321,-0.04,-0.04,-0.04,15,7415716,datapoint
1520975798498,320,-0.04,-0.04,-0.04,14,7427912,datapoint
1520975798514,319,-0.04,-0.04,-0.04,12,7440136,datapoint
1520975798531,318,-0.04,-0.04,-0.04,11,7463336,datapoint
1520975798546,317,-0.04,-0.04,-0.04,9,7475536,datapoint
1520975798563,317,-0.04,-0.04,-0.04,8,7487712,datapoint
1520975798579,304,-0.04,-0.04,-0.04,6,7510904,datapoint
1520975798595,315,-0.04,-0.04,-0.04,5,7523084,datapoint
1520975798611,307,-0.04,-0.04,-0.04,4,7535264,datapoint
1520975798627,313,-0.04,-0.04,-0.04,3,7558444,datapoint
1520975798642,306,-0.04,-0.04,-0.04,1,7570624,datapoint
1520975798658,312,-0.04,-0.04,-0.04,0,7582804,datapoint
1520975798674,311,-0.04,-0.04,-0.04,0,7605920,datapoint
1520975798691,310,-0.04,-0.04,-0.04,1,7618100,datapoint
1520975798706,309,-0.04,-0.04,-0.04,3,7641300,datapoint
1520975798722,299,-0.04,-0.04,-0.04,4,7653476,datapoint
1520975798739,308,-0.04,-0.04,-0.04,6,7665648,datapoint
1520975798755,307,-0.04,-0.04,-0.04,7,7688844,datapoint
1520975798771,306,-0.04,-0.04,-0.04,9,7701036,datapoint
1520975798786,297,-0.04,-0.04,-0.04,10,7713232,datapoint
1520975798803,304,-0.04,-0.04,-0.04,12,7736448,datapoint
1520975798818,304,-0.04,-0.04,-0.04,13,7748668,datapoint
1520975798834,303,-0.04,-0.04,-0.04,14,7760872,datapoint
1520975798851,302,-0.04,-0.04,-0.04,15,7784064,datapoint
1520975798867,302,-0.04,-0.04,-0.04,17,7796264,datapoint
1520975798882,301,-0.04,-0.04,-0.04,18,7808488,datapoint
1520975798898,300,-0.04,-0.04,-0.04,20,7831716,datapoint
1520975798914,300,-0.04,-0.04,-0.04,21,7843912,datapoint
1520975798930,299,-0.04,-0.04,-0.04,23,7856104,datapoint
1520975798946,298,-0.04,-0.04,-0.04,24,7879296,datapoint
1520975798963,289,-0.04,-0.04,-0.04,26,7891496,datapoint
1520975798978,297,-0.04,-0.04,-0.04,27,7903704,datapoint
1520975798993,296,-0.04,-0.04,-0.04,29,7926912,datapoint
1520975799010,296,-0.04,-0.04,-0.04,30,7939116,datapoint
1520975799025,287,-0.04,-0.04,-0.04,31,7951308,datapoint
1520975799042,294,-0.04,-0.04,-0.04,33,7974496,datapoint
1520975799058,294,-0.04,-0.04,-0.04,34,7986696,datapoint
1520975799074,293,-0.04,-0.04,-0.04,36,7998916,datapoint
1520975799090,292,-0.04,-0.04,-0.04,37,8022120,datapoint
1520975799105,292,-0.04,-0.04,-0.04,38,8034324,datapoint
1520975799122,291,-0.04,-0.04,-0.04,40,8046516,datapoint
1520975799139,290,-0.04,-0.04,-0.04,42,8069724,datapoint
1520975799155,290,-0.04,-0.04,-0.04,43,8081912,datapoint
1520975799170,289,-0.04,-0.04,-0.04,45,8105132,datapoint
1520975799186,289,-0.04,-0.04,-0.04,46,8117328,datapoint
1520975799203,288,-0.04,-0.04,-0.04,47,8129564,datapoint
1520975799218,287,-0.04,-0.04,-0.04,48,8152748,datapoint
1520975799233,287,-0.04,-0.04,-0.04,50,8164952,datapoint
1520975799250,278,-0.04,-0.04,-0.04,51,8177144,datapoint
1520975799266,286,-0.04,-0.04,-0.04,52,8200356,datapoint
1520975799282,275,-0.04,-0.04,-0.04,54,8212552,datapoint
1520975799298,285,-0.04,-0.04,-0.04,56,8224736,datapoint
1520975799315,284,-0.04,-0.04,-0.04,57,8247932,datapoint
1520975799330,284,-0.04,-0.04,-0.04,59,8260152,datapoint
1520975799346,274,-0.04,-0.04,-0.04,60,8272352,datapoint
1520975799362,283,-0.04,-0.04,-0.04,62,8295560,datapoint
1520975799379,282,-0.04,-0.04,-0.04,63,8307764,datapoint
1520975799394,282,-0.04,-0.04,-0.04,64,8319952,datapoint
1520975799410,281,-0.04,-0.04,-0.04,66,8343148,datapoint
1520975799427,275,-0.04,-0.04,-0.04,67,8355344,datapoint
1520975799458,280,-0.04,-0.04,-0.04,69,8378540,datapoint
1520975799474,279,-0.04,-0.04,-0.04,71,8401728,datapoint
1520975799490,279,-0.04,-0.04,-0.04,73,8424928,datapoint
1520975799507,278,-0.04,-0.04,-0.04,75,8437144,datapoint
1520975799522,278,-0.04,-0.04,-0.04,76,8449368,datapoint
1520975799540,267,-0.04,-0.04,-0.04,77,8472600,datapoint
1520975799554,277,-0.04,-0.04,-0.04,78,8484792,datapoint
1520975799570,277,-0.04,-0.04,-0.04,80,8496992,datapoint
1520975799586,276,-0.04,-0.04,-0.04,81,8520208,datapoint
1520975799601,267,-0.04,-0.04,-0.04,83,8532408,datapoint
1520975799618,276,-0.04,-0.04,-0.04,84,8544624,datapoint
1520975799634,275,-0.04,-0.04,-0.04,85,8567836,datapoint
1520975799650,275,-0.04,-0.04,-0.04,87,8580024,datapoint
1520975799666,264,-0.04,-0.04,-0.04,89,8592216,datapoint
1520975799682,264,-0.04,-0.04,-0.04,90,8615416,datapoint
1520975799699,274,-0.04,-0.04,-0.04,91,8627628,datapoint
1520975799714,274,-0.04,-0.04,-0.04,93,8639844,datapoint
1520975799730,273,-0.04,-0.04,-0.04,94,8663060,datapoint
1520975799746,273,-0.04,-0.04,-0.04,95,8675248,datapoint
1520975799762,273,-0.04,-0.04,-0.04,97,8687448,datapoint
1520975799777,272,-0.04,-0.04,-0.04,99,8710664,datapoint
1520975799794,272,-0.04,-0.04,-0.04,100,8722892,datapoint
1520975799810,260,-0.04,-0.04,-0.04,102,8735116,datapoint
1520975799825,271,-0.04,-0.04,-0.04,103,8758340,datapoint
1520975799842,271,-0.04,-0.04,-0.04,104,8770576,datapoint
1520975799857,270,-0.04,-0.04,-0.04,106,8782800,datapoint
1520975799874,270,-0.04,-0.04,-0.04,107,8806020,datapoint
1520975799889,270,-0.04,-0.04,-0.04,109,8818244,datapoint
1520975799906,270,-0.04,-0.04,-0.04,109,8830440,datapoint
1520975799921,269,-0.04,-0.04,-0.04,111,8853676,datapoint
1520975799938,269,-0.04,-0.04,-0.04,113,8865896,datapoint
1520975799969,268,-0.04,-0.04,-0.04,114,8889128,datapoint
1520975799986,258,-0.04,-0.04,-0.04,117,8912352,datapoint
1520975800002,255,-0.04,-0.04,-0.04,119,8935572,datapoint
1520975800018,267,-0.04,-0.04,-0.04,120,8947792,datapoint
1520975800034,257,-0.04,-0.04,-0.04,121,8960024,datapoint
1520975800050,267,-0.04,-0.04,-0.04,123,8983224,datapoint
1520975800065,256,-0.04,-0.04,-0.04,124,8995456,datapoint
1520975800081,267,-0.04,-0.04,-0.04,126,9007688,datapoint
1520975800098,266,-0.04,-0.04,-0.04,127,9030924,datapoint
1520975800114,266,-0.04,-0.04,-0.04,129,9043152,datapoint
1520975800130,255,-0.04,-0.04,-0.04,130,9055368,datapoint
1520975800146,265,-0.04,-0.04,-0.04,132,9078584,datapoint
1520975800162,265,-0.04,-0.04,-0.04,133,9090824,datapoint
1520975800178,265,-0.04,-0.04,-0.04,134,9103048,datapoint
1520975800194,265,-0.04,-0.04,-0.04,136,9126268,datapoint
1520975800210,264,-0.04,-0.04,-0.04,137,9138496,datapoint
1520975800225,264,-0.04,-0.04,-0.04,138,9150744,datapoint
1520975800242,251,-0.04,-0.04,-0.04,140,9173956,datapoint
1520975800258,264,-0.04,-0.04,-0.04,141,9186188,datapoint
1520975800289,263,-0.04,-0.04,-0.04,142,9209408,datapoint
1520975800306,250,-0.04,-0.04,-0.04,146,9232632,datapoint
1520975800321,249,-0.04,-0.04,-0.04,147,9255852,datapoint
1520975800338,263,-0.04,-0.04,-0.04,148,9268076,datapoint
1520975800353,263,-0.04,-0.04,-0.04,150,9280316,datapoint
1520975800369,262,-0.04,-0.04,-0.04,151,9303548,datapoint
1520975800385,262,-0.04,-0.04,-0.04,153,9315776,datapoint
1520975800402,262,-0.04,-0.04,-0.04,154,9328012,datapoint
1520975800418,262,-0.04,-0.04,-0.04,156,9351268,datapoint
1520975800433,261,-0.04,-0.04,-0.04,157,9363496,datapoint
1520975800450,251,-0.04,-0.04,-0.04,159,9375716,datapoint
1520975800465,261,-0.04,-0.04,-0.04,160,9398932,datapoint
1520975800482,261,-0.04,-0.04,-0.04,162,9411160,datapoint
1520975800497,261,-0.04,-0.04,-0.04,163,9423380,datapoint
1520975800514,260,-0.04,-0.04,-0.04,165,9446608,datapoint
1520975800530,249,-0.04,-0.04,-0.04,165,9458784,datapoint
1520975800546,260,-0.04,-0.04,-0.04,167,9471028,datapoint
1520975800561,249,-0.04,-0.04,-0.04,168,9494240,datapoint
1520975800577,260,-0.04,-0.04,-0.04,170,9506460,datapoint
1520975800594,249,-0.04,-0.04,-0.04,171,9518692,datapoint
1520975800609,259,-0.04,-0.04,-0.04,173,9541920,datapoint
1520975800626,247,-0.04,-0.04,-0.04,174,9554144,datapoint
1520975800657,259,-0.04,-0.04,-0.04,176,9577360,datapoint
1520975800673,259,-0.04,-0.04,-0.04,178,9600580,datapoint
1520975800689,258,-0.04,-0.04,-0.04,177,9623800,datapoint
1520975800706,258,-0.04,-0.04,-0.04,177,9635984,datapoint
1520975800722,258,-0.04,-0.04,-0.04,175,9648200,datapoint
1520975800738,258,-0.04,-0.04,-0.04,174,9671456,datapoint
1520975800753,258,-0.04,-0.04,-0.04,172,9683680,datapoint
1520975800770,244,-0.04,-0.04,-0.04,171,9695900,datapoint
1520975800786,258,-0.04,-0.04,-0.04,169,9719116,datapoint
1520975800801,258,-0.04,-0.04,-0.04,168,9731360,datapoint
1520975800819,258,-0.04,-0.04,-0.04,167,9743596,datapoint
1520975800834,257,-0.04,-0.04,-0.04,165,9766812,datapoint
1520975800849,257,-0.04,-0.04,-0.04,163,9779032,datapoint
1520975800866,257,-0.04,-0.04,-0.04,162,9791280,datapoint
1520975800882,257,-0.04,-0.04,-0.04,161,9814516,datapoint
1520975800898,257,-0.04,-0.04,-0.04,159,9826744,datapoint
1520975800914,257,-0.04,-0.04,-0.04,158,9838972,datapoint
1520975800929,257,-0.04,-0.04,-0.04,156,9862200,datapoint
1520975800946,255,-0.04,-0.04,-0.04,155,9874420,datapoint
1520975800962,257,-0.04,-0.04,-0.04,153,9886640,datapoint
1520975800978,257,-0.04,-0.04,-0.04,152,9909876,datapoint
1520975800994,257,-0.04,-0.04,-0.04,150,9922096,datapoint
1520975801009,244,-0.04,-0.04,-0.04,149,9934320,datapoint
1520975801026,257,-0.04,-0.04,-0.04,147,9957560,datapoint
1520975801042,257,-0.04,-0.04,-0.04,146,9969784,datapoint
1520975801074,257,-0.04,-0.04,-0.04,144,9992996,datapoint
1520975801089,257,-0.04,-0.04,-0.04,142,10016228,datapoint
1520975801106,257,-0.04,-0.04,-0.04,141,10039488,datapoint
1520975801121,257,-0.04,-0.04,-0.04,139,10051760,datapoint
1520975801137,257,-0.04,-0.04,-0.04,138,10064020,datapoint
1520975801153,257,-0.04,-0.04,-0.04,136,10087260,datapoint
1520975801170,257,-0.04,-0.04,-0.04,135,10099512,datapoint
1520975801185,257,-0.04,-0.04,-0.04,133,10111776,datapoint
1520975801202,257,-0.04,-0.04,-0.04,132,10135044,datapoint
1520975801217,257,-0.04,-0.04,-0.04,130,10147308,datapoint
1520975801234,257,-0.04,-0.04,-0.04,129,10159568,datapoint
1520975801249,257,-0.04,-0.04,-0.04,128,10182836,datapoint
1520975801265,257,-0.04,-0.04,-0.04,126,10195096,datapoint
1520975801282,257,-0.04,-0.04,-0.04,125,10207352,datapoint
1520975801297,257,-0.04,-0.04,-0.04,123,10230596,datapoint
1520975801313,256,-0.04,-0.04,-0.04,122,10242868,datapoint
1520975801329,243,-0.04,-0.04,-0.04,121,10255128,datapoint
1520975801345,256,-0.04,-0.04,-0.04,120,10278388,datapoint
1520975801362,256,-0.04,-0.04,-0.04,118,10290648,datapoint
1520975801378,256,-0.04,-0.04,-0.04,117,10302924,datapoint
1520975801393,256,-0.04,-0.04,-0.04,115,10326192,datapoint
1520975801409,256,-0.04,-0.04,-0.04,114,10338448,datapoint
1520975801425,256,-0.04,-0.04,-0.04,112,10350720,datapoint
1520975801441,255,-0.04,-0.04,-0.04,111,10373964,datapoint
1520975801457,256,-0.04,-0.04,-0.04,110,10386216,datapoint
1520975801473,256,-0.04,-0.04,-0.04,109,10398484,datapoint
1520975801489,255,-0.04,-0.04,-0.04,107,10421744,datapoint
1520975801505,255,-0.04,-0.04,-0.04,105,10434008,datapoint
1520975801522,255,-0.04,-0.04,-0.04,105,10446232,datapoint
1520975801538,255,-0.04,-0.04,-0.04,103,10469484,datapoint
1520975801554,255,-0.04,-0.04,-0.04,102,10481740,datapoint
1520975801585,255,-0.04,-0.04,-0.04,100,10504984,datapoint
1520975801601,255,-0.04,-0.04,-0.04,97,10528232,datapoint
1520975801617,254,-0.04,-0.04,-0.04,96,10551492,datapoint
1520975801633,254,-0.04,-0.04,-0.04,94,10563728,datapoint
1520975801649,242,-0.04,-0.04,-0.04,93,10575968,datapoint
1520975801665,254,-0.04,-0.04,-0.04,92,10599200,datapoint
1520975801681,254,-0.04,-0.04,-0.04,90,10611436,datapoint
1520975801696,254,-0.04,-0.04,-0.04,89,10623672,datapoint
1520975801713,254,-0.04,-0.04,-0.04,87,10646912,datapoint
1520975801729,254,-0.04,-0.04,-0.04,86,10659152,datapoint
1520975801745,254,-0.04,-0.04,-0.04,84,10671416,datapoint
1520975801761,254,-0.04,-0.04,-0.04,83,10694668,datapoint
1520975801777,254,-0.04,-0.04,-0.04,81,10706896,datapoint
1520975801793,254,-0.04,-0.04,-0.04,80,10719136,datapoint
1520975801809,254,-0.04,-0.04,-0.04,78,10742392,datapoint
1520975801825,254,-0.04,-0.04,-0.04,77,10754632,datapoint
1520975801841,254,-0.04,-0.04,-0.04,75,10766872,datapoint
1520975801857,254,-0.04,-0.04,-0.04,75,10790072,datapoint
1520975801873,254,-0.04,-0.04,-0.04,73,10802332,datapoint
1520975801889,240,-0.04,-0.04,-0.04,72,10814572,datapoint
1520975801906,254,-0.04,-0.04,-0.04,70,10837804,datapoint
1520975801921,254,-0.04,-0.04,-0.04,69,10850064,datapoint
