Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004E9A
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520976481105,547,-0.04,-0.04,-0.04,0,5316764,datapoint
1520976481120,539,-0.04,-0.04,-0.04,171,5328972,datapoint
1520976481136,548,-0.04,-0.04,-0.04,170,5352212,datapoint
1520976481152,544,-0.04,-0.04,-0.04,169,5364436,datapoint
1520976481167,539,-0.04,-0.04,-0.04,167,5376652,datapoint
1520976481185,532,-0.04,-0.04,-0.04,166,5399872,datapoint
1520976481199,528,-0.04,-0.04,-0.04,164,5412108,datapoint
1520976481216,527,-0.04,-0.04,-0.04,163,5424336,datapoint
1520976481232,522,-0.04,-0.04,-0.04,161,5447552,datapoint
1520976481248,520,-0.04,-0.04,-0.04,160,5459784,datapoint
1520976481264,517,-0.04,-0.04,-0.04,158,5472016,datapoint
1520976481280,514,-0.04,-0.04,-0.04,157,5495232,datapoint
1520976481297,512,-0.04,-0.04,-0.04,155,5507456,datapoint
1520976481328,509,-0.04,-0.04,-0.04,154,5530712,datapoint
1520976481343,505,-0.04,-0.04,-0.04,151,5553936,datapoint
1520976481361,498,-0.04,-0.04,-0.04,150,5577152,datapoint
1520976481376,496,-0.04,-0.04,-0.04,148,5589388,datapoint
1520976481392,494,-0.04,-0.04,-0.04,147,5601636,datapoint
1520976481408,491,-0.04,-0.04,-0.04,145,5624868,datapoint
1520976481425,489,-0.04,-0.04,-0.04,144,5637084,datapoint
1520976481441,487,-0.04,-0.04,-0.04,142,5649304,datapoint
1520976481457,493,-0.04,-0.04,-0.04,141,5672516,datapoint
1520976481473,482,-0.04,-0.04,-0.04,139,5684740,datapoint
1520976481488,481,-0.04,-0.04,-0.04,138,5696972,datapoint
1520976481504,478,-0.04,-0.04,-0.04,136,5720196,datapoint
1520976481520,484,-0.04,-0.04,-0.04,135,5732420,datapoint
1520976481536,475,-0.04,-0.04,-0.04,134,5744636,datapoint
1520976481552,471,-0.04,-0.04,-0.04,132,5767852,datapoint
1520976481568,470,-0.04,-0.04,-0.04,131,5780096,datapoint
1520976481584,475,-0.04,-0.04,-0.04,129,5792316,datapoint
1520976481600,465,-0.04,-0.04,-0.04,128,5815536,datapoint
1520976481616,464,-0.04,-0.04,-0.04,126,5827768,datapoint
1520976481632,462,-0.04,-0.04,-0.04,125,5840004,datapoint
1520976481648,459,-0.04,-0.04,-0.04,123,5863220,datapoint
1520976481664,458,-0.04,-0.04,-0.04,122,5875448,datapoint
1520976481679,456,-0.04,-0.04,-0.04,120,5887668,datapoint
1520976481696,453,-0.04,-0.04,-0.04,119,5910904,datapoint
1520976481712,452,-0.04,-0.04,-0.04,117,5923136,datapoint
1520976481728,456,-0.04,-0.04,-0.04,116,5935360,datapoint
1520976481743,448,-0.04,-0.04,-0.04,115,5958580,datapoint
1520976481761,446,-0.04,-0.04,-0.04,113,5970796,datapoint
1520976481791,443,-0.04,-0.04,-0.04,112,5994020,datapoint
1520976481808,440,-0.04,-0.04,-0.04,109,6017248,datapoint
1520976481824,438,-0.04,-0.04,-0.04,107,6040484,datapoint
1520976481840,440,-0.04,-0.04,-0.04,106,6052708,datapoint
1520976481857,435,-0.04,-0.04,-0.04,104,6064928,datapoint
1520976481871,432,-0.04,-0.04,-0.04,103,6088168,datapoint
1520976481889,431,-0.04,-0.04,-0.04,101,6100400,datapoint
1520976481904,433,-0.04,-0.04,-0.04,100,6112632,datapoint
1520976481920,427,-0.04,-0.04,-0.04,98,6135852,datapoint
1520976481936,425,-0.04,-0.04,-0.04,97,6148040,datapoint
1520976481953,424,-0.04,-0.04,-0.04,96,6160260,datapoint
1520976481968,421,-0.04,-0.04,-0.04,94,6183452,datapoint
1520976481984,420,-0.04,-0.04,-0.04,93,6195648,datapoint
1520976482000,419,-0.04,-0.04,-0.04,91,6207856,datapoint
1520976482016,416,-0.04,-0.04,-0.04,90,6231088,datapoint
1520976482031,415,-0.04,-0.04,-0.04,88,6243280,datapoint
1520976482048,425,-0.04,-0.04,-0.04,87,6255484,datapoint
1520976482064,412,-0.04,-0.04,-0.04,85,6278672,datapoint
1520976482081,411,-0.04,-0.04,-0.04,84,6290872,datapoint
1520976482111,408,-0.04,-0.04,-0.04,82,6314076,datapoint
1520976482128,406,-0.04,-0.04,-0.04,80,6337272,datapoint
1520976482143,403,-0.04,-0.04,-0.04,78,6360472,datapoint
1520976482160,403,-0.04,-0.04,-0.04,77,6372688,datapoint
1520976482176,401,-0.04,-0.04,-0.04,75,6384896,datapoint
1520976482191,398,-0.04,-0.04,-0.04,74,6408092,datapoint
1520976482209,397,-0.04,-0.04,-0.04,72,6420308,datapoint
1520976482224,396,-0.04,-0.04,-0.04,71,6432512,datapoint
1520976482240,394,-0.04,-0.04,-0.04,69,6455704,datapoint
1520976482257,392,-0.04,-0.04,-0.04,68,6467912,datapoint
1520976482272,391,-0.04,-0.04,-0.04,66,6480152,datapoint
1520976482288,389,-0.04,-0.04,-0.04,65,6503352,datapoint
1520976482304,388,-0.04,-0.04,-0.04,63,6515552,datapoint
1520976482320,387,-0.04,-0.04,-0.04,63,6527708,datapoint
1520976482335,384,-0.04,-0.04,-0.04,61,6550936,datapoint
1520976482351,383,-0.04,-0.04,-0.04,60,6563152,datapoint
1520976482367,383,-0.04,-0.04,-0.04,58,6575368,datapoint
1520976482383,380,-0.04,-0.04,-0.04,56,6598564,datapoint
1520976482399,378,-0.04,-0.04,-0.04,55,6610752,datapoint
1520976482415,378,-0.04,-0.04,-0.04,53,6622956,datapoint
1520976482432,376,-0.04,-0.04,-0.04,52,6646148,datapoint
1520976482448,375,-0.04,-0.04,-0.04,50,6658360,datapoint
1520976482479,373,-0.04,-0.04,-0.04,49,6681564,datapoint
1520976482496,371,-0.04,-0.04,-0.04,47,6704764,datapoint
1520976482512,369,-0.04,-0.04,-0.04,44,6727976,datapoint
1520976482527,368,-0.04,-0.04,-0.04,44,6740152,datapoint
1520976482543,368,-0.04,-0.04,-0.04,42,6752348,datapoint
1520976482560,365,-0.04,-0.04,-0.04,41,6775544,datapoint
1520976482575,364,-0.04,-0.04,-0.04,39,6787744,datapoint
1520976482591,363,-0.04,-0.04,-0.04,37,6799960,datapoint
1520976482608,361,-0.04,-0.04,-0.04,36,6823152,datapoint
