Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004EAC
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520977560878,547,-0.04,-0.04,-0.04,0,5316764,datapoint
1520977560894,539,-0.04,-0.04,-0.04,173,5328968,datapoint
1520977560910,547,-0.04,-0.04,-0.04,171,5352212,datapoint
1520977560926,544,-0.04,-0.04,-0.04,170,5364436,datapoint
1520977560942,538,-0.04,-0.04,-0.04,168,5376660,datapoint
1520977560957,532,-0.04,-0.04,-0.04,167,5399888,datapoint
1520977560973,528,-0.04,-0.04,-0.04,165,5412112,datapoint
1520977560991,526,-0.04,-0.04,-0.04,165,5424288,datapoint
1520977561005,522,-0.04,-0.04,-0.04,163,5447500,datapoint
1520977561022,520,-0.04,-0.04,-0.04,162,5459744,datapoint
1520977561054,516,-0.04,-0.04,-0.04,160,5482968,datapoint
1520977561070,512,-0.04,-0.04,-0.04,157,5506188,datapoint
1520977561086,509,-0.04,-0.04,-0.04,156,5529412,datapoint
1520977561102,506,-0.04,-0.04,-0.04,154,5541644,datapoint
1520977561120,505,-0.04,-0.04,-0.04,153,5553868,datapoint
1520977561135,502,-0.04,-0.04,-0.04,151,5577088,datapoint
1520977561150,496,-0.04,-0.04,-0.04,150,5589324,datapoint
1520977561166,494,-0.04,-0.04,-0.04,148,5601556,datapoint
1520977561181,491,-0.04,-0.04,-0.04,147,5624776,datapoint
1520977561198,489,-0.04,-0.04,-0.04,146,5637000,datapoint
1520977561213,487,-0.04,-0.04,-0.04,144,5649220,datapoint
1520977561230,493,-0.04,-0.04,-0.04,143,5672452,datapoint
1520977561246,482,-0.04,-0.04,-0.04,141,5684680,datapoint
1520977561261,481,-0.04,-0.04,-0.04,140,5696916,datapoint
1520977561278,477,-0.04,-0.04,-0.04,138,5720156,datapoint
1520977561294,483,-0.04,-0.04,-0.04,137,5732380,datapoint
1520977561309,474,-0.04,-0.04,-0.04,135,5744596,datapoint
1520977561326,470,-0.04,-0.04,-0.04,134,5767820,datapoint
1520977561343,469,-0.04,-0.04,-0.04,132,5780068,datapoint
1520977561373,466,-0.04,-0.04,-0.04,131,5803296,datapoint
1520977561389,463,-0.04,-0.04,-0.04,129,5826508,datapoint
1520977561421,460,-0.04,-0.04,-0.04,127,5849728,datapoint
1520977561437,464,-0.04,-0.04,-0.04,124,5872972,datapoint
1520977561454,460,-0.04,-0.04,-0.04,123,5896200,datapoint
1520977561470,453,-0.04,-0.04,-0.04,121,5908436,datapoint
1520977561487,451,-0.04,-0.04,-0.04,120,5920668,datapoint
1520977561502,448,-0.04,-0.04,-0.04,118,5943896,datapoint
1520977561518,447,-0.04,-0.04,-0.04,117,5956116,datapoint
1520977561533,445,-0.04,-0.04,-0.04,115,5968360,datapoint
1520977561549,446,-0.04,-0.04,-0.04,114,5991600,datapoint
1520977561565,441,-0.04,-0.04,-0.04,112,6003828,datapoint
1520977561581,445,-0.04,-0.04,-0.04,111,6016048,datapoint
1520977561598,437,-0.04,-0.04,-0.04,110,6039252,datapoint
1520977561613,435,-0.04,-0.04,-0.04,108,6051476,datapoint
1520977561629,434,-0.04,-0.04,-0.04,107,6063700,datapoint
1520977561646,431,-0.04,-0.04,-0.04,105,6086932,datapoint
1520977561662,430,-0.04,-0.04,-0.04,104,6099164,datapoint
1520977561693,427,-0.04,-0.04,-0.04,102,6122388,datapoint
1520977561710,424,-0.04,-0.04,-0.04,99,6145592,datapoint
1520977561726,421,-0.04,-0.04,-0.04,98,6168808,datapoint
1520977561741,420,-0.04,-0.04,-0.04,96,6181008,datapoint
1520977561757,420,-0.04,-0.04,-0.04,95,6193208,datapoint
1520977561773,416,-0.04,-0.04,-0.04,93,6216384,datapoint
1520977561789,414,-0.04,-0.04,-0.04,93,6228552,datapoint
1520977561806,413,-0.04,-0.04,-0.04,91,6240748,datapoint
1520977561821,411,-0.04,-0.04,-0.04,90,6263976,datapoint
1520977561838,409,-0.04,-0.04,-0.04,88,6276176,datapoint
1520977561853,408,-0.04,-0.04,-0.04,87,6288400,datapoint
1520977561870,406,-0.04,-0.04,-0.04,85,6311584,datapoint
1520977561885,404,-0.04,-0.04,-0.04,84,6323784,datapoint
1520977561902,404,-0.04,-0.04,-0.04,82,6335984,datapoint
1520977561918,401,-0.04,-0.04,-0.04,81,6359192,datapoint
1520977561935,399,-0.04,-0.04,-0.04,79,6371392,datapoint
1520977561965,397,-0.04,-0.04,-0.04,78,6394580,datapoint
1520977561982,395,-0.04,-0.04,-0.04,75,6417776,datapoint
1520977561997,392,-0.04,-0.04,-0.04,74,6441012,datapoint
1520977562014,393,-0.04,-0.04,-0.04,72,6453200,datapoint
1520977562030,390,-0.04,-0.04,-0.04,71,6465408,datapoint
1520977562046,388,-0.04,-0.04,-0.04,69,6488608,datapoint
1520977562061,387,-0.04,-0.04,-0.04,68,6500808,datapoint
1520977562078,385,-0.04,-0.04,-0.04,66,6513024,datapoint
1520977562094,383,-0.04,-0.04,-0.04,65,6536240,datapoint
1520977562110,382,-0.04,-0.04,-0.04,63,6548448,datapoint
1520977562125,380,-0.04,-0.04,-0.04,62,6560648,datapoint
1520977562141,379,-0.04,-0.04,-0.04,60,6583832,datapoint
1520977562156,378,-0.04,-0.04,-0.04,59,6596040,datapoint
1520977562173,377,-0.04,-0.04,-0.04,58,6608264,datapoint
1520977562188,372,-0.04,-0.04,-0.04,56,6631468,datapoint
1520977562205,374,-0.04,-0.04,-0.04,55,6643660,datapoint
1520977562221,371,-0.04,-0.04,-0.04,54,6655860,datapoint
1520977562237,371,-0.04,-0.04,-0.04,52,6679048,datapoint
1520977562253,367,-0.04,-0.04,-0.04,51,6691260,datapoint
1520977562268,369,-0.04,-0.04,-0.04,49,6703472,datapoint
1520977562286,367,-0.04,-0.04,-0.04,48,6726684,datapoint
1520977562302,366,-0.04,-0.04,-0.04,46,6738872,datapoint
1520977562333,364,-0.04,-0.04,-0.04,45,6762072,datapoint
1520977562349,362,-0.04,-0.04,-0.04,42,6785264,datapoint
1520977562366,360,-0.04,-0.04,-0.04,40,6808468,datapoint
1520977562380,359,-0.04,-0.04,-0.04,39,6820668,datapoint
1520977562397,359,-0.04,-0.04,-0.04,38,6832864,datapoint
1520977562412,356,-0.04,-0.04,-0.04,36,6856056,datapoint
1520977562429,355,-0.04,-0.04,-0.04,35,6868268,datapoint
1520977562445,354,-0.04,-0.04,-0.04,33,6880496,datapoint
1520977562462,352,-0.04,-0.04,-0.04,32,6903684,datapoint
1520977562477,351,-0.04,-0.04,-0.04,30,6915880,datapoint
1520977562493,350,-0.04,-0.04,-0.04,29,6928076,datapoint
1520977562512,348,-0.04,-0.04,-0.04,27,6951284,datapoint
1520977562525,347,-0.04,-0.04,-0.04,26,6963500,datapoint
1520977562542,343,-0.04,-0.04,-0.04,24,6975712,datapoint
1520977562556,345,-0.04,-0.04,-0.04,23,6998900,datapoint
1520977562573,340,-0.04,-0.04,-0.04,22,7011096,datapoint
1520977562589,343,-0.04,-0.04,-0.04,21,7023296,datapoint
1520977562605,341,-0.04,-0.04,-0.04,19,7046496,datapoint
1520977562620,340,-0.04,-0.04,-0.04,18,7058716,datapoint
1520977562637,335,-0.04,-0.04,-0.04,16,7070928,datapoint
1520977562653,338,-0.04,-0.04,-0.04,15,7094112,datapoint
1520977562669,337,-0.04,-0.04,-0.04,13,7106312,datapoint
1520977562700,335,-0.04,-0.04,-0.04,12,7129536,datapoint
1520977562716,334,-0.04,-0.04,-0.04,9,7152732,datapoint
1520977562733,335,-0.04,-0.04,-0.04,8,7175896,datapoint
1520977562749,332,-0.04,-0.04,-0.04,6,7188076,datapoint
1520977562765,331,-0.04,-0.04,-0.04,4,7200272,datapoint
1520977562780,329,-0.04,-0.04,-0.04,3,7223460,datapoint
1520977562797,329,-0.04,-0.04,-0.04,2,7235632,datapoint
1520977562813,327,-0.04,-0.04,-0.04,0,7247808,datapoint
1520977562829,320,-0.04,-0.04,-0.04,0,7270960,datapoint
1520977562844,325,-0.04,-0.04,-0.04,0,7283100,datapoint
1520977562861,325,-0.04,-0.04,-0.04,2,7295284,datapoint
1520977562877,323,-0.04,-0.04,-0.04,3,7318460,datapoint
1520977562892,315,-0.04,-0.04,-0.04,5,7330640,datapoint
1520977562909,322,-0.04,-0.04,-0.04,6,7342824,datapoint
1520977562924,320,-0.04,-0.04,-0.04,8,7366004,datapoint
1520977562941,320,-0.04,-0.04,-0.04,9,7378196,datapoint
1520977562973,318,-0.04,-0.04,-0.04,11,7401368,datapoint
1520977562988,317,-0.04,-0.04,-0.04,13,7424552,datapoint
1520977563004,315,-0.04,-0.04,-0.04,15,7447748,datapoint
1520977563021,315,-0.04,-0.04,-0.04,16,7459968,datapoint
1520977563037,319,-0.04,-0.04,-0.04,18,7472176,datapoint
1520977563053,313,-0.04,-0.04,-0.04,19,7495364,datapoint
1520977563069,312,-0.04,-0.04,-0.04,21,7507568,datapoint
1520977563085,312,-0.04,-0.04,-0.04,22,7519768,datapoint
1520977563101,310,-0.04,-0.04,-0.04,24,7542976,datapoint
1520977563117,310,-0.04,-0.04,-0.04,25,7555176,datapoint
1520977563132,309,-0.04,-0.04,-0.04,27,7567384,datapoint
1520977563150,308,-0.04,-0.04,-0.04,27,7590532,datapoint
1520977563165,307,-0.04,-0.04,-0.04,29,7602728,datapoint
1520977563197,306,-0.04,-0.04,-0.04,30,7625936,datapoint
1520977563212,305,-0.04,-0.04,-0.04,33,7649120,datapoint
1520977563228,294,-0.04,-0.04,-0.04,35,7672332,datapoint
