Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004EAD
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520977617848,547,-0.04,-0.04,-0.04,0,5316764,datapoint
1520977617863,539,-0.04,-0.04,-0.04,173,5328972,datapoint
1520977617879,547,-0.04,-0.04,-0.04,174,5352212,datapoint
1520977617897,543,-0.04,-0.04,-0.04,176,5364436,datapoint
1520977617928,533,-0.04,-0.04,-0.04,177,5387656,datapoint
1520977617944,528,-0.04,-0.04,-0.04,178,5410924,datapoint
1520977617960,524,-0.04,-0.04,-0.04,177,5434144,datapoint
1520977617975,522,-0.04,-0.04,-0.04,175,5446376,datapoint
1520977617991,520,-0.04,-0.04,-0.04,174,5458596,datapoint
1520977618007,516,-0.04,-0.04,-0.04,172,5481828,datapoint
1520977618023,514,-0.04,-0.04,-0.04,171,5494068,datapoint
1520977618040,512,-0.04,-0.04,-0.04,169,5506296,datapoint
1520977618056,508,-0.04,-0.04,-0.04,168,5529524,datapoint
1520977618072,506,-0.04,-0.04,-0.04,166,5541748,datapoint
1520977618088,504,-0.04,-0.04,-0.04,165,5553972,datapoint
1520977618105,500,-0.04,-0.04,-0.04,163,5577192,datapoint
1520977618120,497,-0.04,-0.04,-0.04,162,5589428,datapoint
1520977618135,497,-0.04,-0.04,-0.04,160,5601660,datapoint
1520977618151,490,-0.04,-0.04,-0.04,159,5624888,datapoint
1520977618168,495,-0.04,-0.04,-0.04,158,5637108,datapoint
1520977618183,487,-0.04,-0.04,-0.04,156,5649332,datapoint
1520977618199,494,-0.04,-0.04,-0.04,155,5672564,datapoint
1520977618215,482,-0.04,-0.04,-0.04,153,5684788,datapoint
1520977618231,488,-0.04,-0.04,-0.04,152,5697012,datapoint
1520977618247,477,-0.04,-0.04,-0.04,150,5720240,datapoint
1520977618264,482,-0.04,-0.04,-0.04,149,5732464,datapoint
1520977618295,472,-0.04,-0.04,-0.04,147,5755684,datapoint
1520977618313,469,-0.04,-0.04,-0.04,144,5778916,datapoint
1520977618327,465,-0.04,-0.04,-0.04,143,5802136,datapoint
1520977618343,464,-0.04,-0.04,-0.04,141,5814360,datapoint
1520977618360,462,-0.04,-0.04,-0.04,141,5826536,datapoint
1520977618375,459,-0.04,-0.04,-0.04,139,5849756,datapoint
1520977618392,458,-0.04,-0.04,-0.04,138,5861996,datapoint
1520977618407,463,-0.04,-0.04,-0.04,136,5874212,datapoint
1520977618423,453,-0.04,-0.04,-0.04,135,5897440,datapoint
1520977618439,452,-0.04,-0.04,-0.04,133,5909656,datapoint
1520977618455,450,-0.04,-0.04,-0.04,132,5921896,datapoint
1520977618471,448,-0.04,-0.04,-0.04,130,5945120,datapoint
1520977618488,446,-0.04,-0.04,-0.04,129,5957344,datapoint
1520977618504,445,-0.04,-0.04,-0.04,127,5969568,datapoint
1520977618519,446,-0.04,-0.04,-0.04,126,5992808,datapoint
1520977618536,440,-0.04,-0.04,-0.04,124,6005048,datapoint
1520977618552,439,-0.04,-0.04,-0.04,123,6017284,datapoint
1520977618568,436,-0.04,-0.04,-0.04,121,6040500,datapoint
1520977618584,438,-0.04,-0.04,-0.04,120,6052724,datapoint
1520977618615,432,-0.04,-0.04,-0.04,119,6075940,datapoint
1520977618631,429,-0.04,-0.04,-0.04,116,6099168,datapoint
1520977618647,426,-0.04,-0.04,-0.04,114,6122384,datapoint
1520977618663,428,-0.04,-0.04,-0.04,113,6134604,datapoint
1520977618680,423,-0.04,-0.04,-0.04,111,6146832,datapoint
1520977618695,421,-0.04,-0.04,-0.04,110,6170064,datapoint
1520977618711,419,-0.04,-0.04,-0.04,108,6182288,datapoint
1520977618727,420,-0.04,-0.04,-0.04,107,6194524,datapoint
1520977618743,415,-0.04,-0.04,-0.04,105,6217760,datapoint
1520977618760,414,-0.04,-0.04,-0.04,105,6229948,datapoint
1520977618776,413,-0.04,-0.04,-0.04,103,6242164,datapoint
1520977618791,410,-0.04,-0.04,-0.04,102,6265380,datapoint
1520977618807,409,-0.04,-0.04,-0.04,100,6277600,datapoint
1520977618823,408,-0.04,-0.04,-0.04,99,6289832,datapoint
1520977618839,405,-0.04,-0.04,-0.04,97,6313028,datapoint
1520977618855,404,-0.04,-0.04,-0.04,96,6325220,datapoint
1520977618872,403,-0.04,-0.04,-0.04,94,6337412,datapoint
1520977618888,400,-0.04,-0.04,-0.04,93,6360604,datapoint
1520977618904,400,-0.04,-0.04,-0.04,91,6372808,datapoint
1520977618935,396,-0.04,-0.04,-0.04,90,6396024,datapoint
1520977618950,394,-0.04,-0.04,-0.04,87,6419212,datapoint
1520977618967,392,-0.04,-0.04,-0.04,86,6442416,datapoint
1520977618983,391,-0.04,-0.04,-0.04,84,6454624,datapoint
1520977618999,389,-0.04,-0.04,-0.04,83,6466828,datapoint
1520977619015,387,-0.04,-0.04,-0.04,81,6490036,datapoint
1520977619031,386,-0.04,-0.04,-0.04,80,6502224,datapoint
1520977619048,385,-0.04,-0.04,-0.04,78,6514428,datapoint
1520977619063,383,-0.04,-0.04,-0.04,77,6537624,datapoint
1520977619079,382,-0.04,-0.04,-0.04,75,6549844,datapoint
1520977619096,380,-0.04,-0.04,-0.04,74,6562056,datapoint
1520977619113,378,-0.04,-0.04,-0.04,72,6585248,datapoint
1520977619128,377,-0.04,-0.04,-0.04,71,6597448,datapoint
1520977619143,376,-0.04,-0.04,-0.04,69,6609668,datapoint
1520977619159,372,-0.04,-0.04,-0.04,69,6632820,datapoint
1520977619175,373,-0.04,-0.04,-0.04,67,6645040,datapoint
1520977619191,372,-0.04,-0.04,-0.04,66,6657256,datapoint
