Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004EB6
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520978130702,546,-0.04,-0.04,-0.04,0,5316764,datapoint
1520978130718,538,-0.04,-0.04,-0.04,173,5328968,datapoint
1520978130733,546,-0.04,-0.04,-0.04,171,5352212,datapoint
1520978130749,542,-0.04,-0.04,-0.04,170,5364424,datapoint
1520978130765,537,-0.04,-0.04,-0.04,169,5376652,datapoint
1520978130781,530,-0.04,-0.04,-0.04,168,5399872,datapoint
1520978130798,526,-0.04,-0.04,-0.04,166,5412108,datapoint
1520978130813,525,-0.04,-0.04,-0.04,165,5424340,datapoint
1520978130829,520,-0.04,-0.04,-0.04,163,5447552,datapoint
1520978130845,518,-0.04,-0.04,-0.04,162,5459784,datapoint
1520978130861,515,-0.04,-0.04,-0.04,160,5472016,datapoint
1520978130877,512,-0.04,-0.04,-0.04,159,5495232,datapoint
1520978130894,510,-0.04,-0.04,-0.04,157,5507460,datapoint
1520978130910,508,-0.04,-0.04,-0.04,156,5519712,datapoint
1520978130925,504,-0.04,-0.04,-0.04,154,5542952,datapoint
1520978130942,503,-0.04,-0.04,-0.04,153,5555164,datapoint
1520978130974,499,-0.04,-0.04,-0.04,152,5578388,datapoint
1520978130990,492,-0.04,-0.04,-0.04,149,5601612,datapoint
1520978131006,489,-0.04,-0.04,-0.04,147,5624840,datapoint
1520978131021,496,-0.04,-0.04,-0.04,146,5637052,datapoint
1520978131038,486,-0.04,-0.04,-0.04,144,5649292,datapoint
1520978131054,490,-0.04,-0.04,-0.04,143,5672504,datapoint
1520978131069,481,-0.04,-0.04,-0.04,141,5684736,datapoint
1520978131086,479,-0.04,-0.04,-0.04,140,5696972,datapoint
1520978131102,476,-0.04,-0.04,-0.04,138,5720192,datapoint
1520978131118,481,-0.04,-0.04,-0.04,137,5732420,datapoint
1520978131134,473,-0.04,-0.04,-0.04,135,5744636,datapoint
1520978131149,469,-0.04,-0.04,-0.04,134,5767852,datapoint
1520978131166,468,-0.04,-0.04,-0.04,133,5780096,datapoint
1520978131182,477,-0.04,-0.04,-0.04,131,5792320,datapoint
1520978131197,463,-0.04,-0.04,-0.04,130,5815548,datapoint
1520978131214,462,-0.04,-0.04,-0.04,129,5827772,datapoint
1520978131245,459,-0.04,-0.04,-0.04,127,5850996,datapoint
1520978131261,462,-0.04,-0.04,-0.04,124,5874224,datapoint
1520978131277,453,-0.04,-0.04,-0.04,123,5897448,datapoint
1520978131293,451,-0.04,-0.04,-0.04,121,5909680,datapoint
1520978131309,450,-0.04,-0.04,-0.04,120,5921924,datapoint
1520978131326,447,-0.04,-0.04,-0.04,118,5945140,datapoint
1520978131342,446,-0.04,-0.04,-0.04,117,5957368,datapoint
1520978131358,444,-0.04,-0.04,-0.04,115,5969604,datapoint
1520978131374,445,-0.04,-0.04,-0.04,114,5992844,datapoint
1520978131389,440,-0.04,-0.04,-0.04,113,6005072,datapoint
1520978131405,438,-0.04,-0.04,-0.04,111,6017300,datapoint
1520978131421,435,-0.04,-0.04,-0.04,110,6040516,datapoint
1520978131437,434,-0.04,-0.04,-0.04,108,6052744,datapoint
1520978131453,433,-0.04,-0.04,-0.04,107,6064964,datapoint
1520978131469,430,-0.04,-0.04,-0.04,105,6088200,datapoint
1520978131486,428,-0.04,-0.04,-0.04,104,6100424,datapoint
1520978131502,430,-0.04,-0.04,-0.04,102,6112648,datapoint
1520978131518,424,-0.04,-0.04,-0.04,101,6135884,datapoint
1520978131533,423,-0.04,-0.04,-0.04,99,6148092,datapoint
1520978131549,421,-0.04,-0.04,-0.04,98,6160308,datapoint
1520978131565,419,-0.04,-0.04,-0.04,97,6183500,datapoint
1520978131582,417,-0.04,-0.04,-0.04,96,6195704,datapoint
1520978131597,416,-0.04,-0.04,-0.04,94,6207924,datapoint
1520978131614,411,-0.04,-0.04,-0.04,93,6231152,datapoint
1520978131629,412,-0.04,-0.04,-0.04,91,6243356,datapoint
1520978131645,412,-0.04,-0.04,-0.04,90,6255544,datapoint
1520978131661,408,-0.04,-0.04,-0.04,88,6278736,datapoint
1520978131677,407,-0.04,-0.04,-0.04,87,6290944,datapoint
1520978131708,405,-0.04,-0.04,-0.04,85,6314164,datapoint
1520978131726,402,-0.04,-0.04,-0.04,82,6337356,datapoint
1520978131740,400,-0.04,-0.04,-0.04,81,6360540,datapoint
1520978131757,399,-0.04,-0.04,-0.04,79,6372752,datapoint
1520978131774,397,-0.04,-0.04,-0.04,78,6384968,datapoint
1520978131789,395,-0.04,-0.04,-0.04,76,6408160,datapoint
1520978131806,393,-0.04,-0.04,-0.04,75,6420372,datapoint
1520978131821,399,-0.04,-0.04,-0.04,74,6432572,datapoint
1520978131837,390,-0.04,-0.04,-0.04,72,6455768,datapoint
1520978131853,389,-0.04,-0.04,-0.04,71,6467976,datapoint
1520978131869,388,-0.04,-0.04,-0.04,69,6480208,datapoint
1520978131886,386,-0.04,-0.04,-0.04,68,6503412,datapoint
1520978131901,385,-0.04,-0.04,-0.04,66,6515612,datapoint
1520978131917,384,-0.04,-0.04,-0.04,65,6527800,datapoint
1520978131934,378,-0.04,-0.04,-0.04,63,6551020,datapoint
1520978131949,380,-0.04,-0.04,-0.04,62,6563236,datapoint
1520978131982,378,-0.04,-0.04,-0.04,60,6586436,datapoint
1520978131997,376,-0.04,-0.04,-0.04,58,6609636,datapoint
1520978132014,372,-0.04,-0.04,-0.04,57,6632820,datapoint
1520978132029,373,-0.04,-0.04,-0.04,55,6645036,datapoint
1520978132046,372,-0.04,-0.04,-0.04,54,6657244,datapoint
1520978132061,370,-0.04,-0.04,-0.04,52,6680444,datapoint
1520978132078,367,-0.04,-0.04,-0.04,51,6692640,datapoint
1520978132094,368,-0.04,-0.04,-0.04,49,6704836,datapoint
1520978132108,366,-0.04,-0.04,-0.04,48,6728040,datapoint
1520978132126,365,-0.04,-0.04,-0.04,46,6740276,datapoint
1520978132142,361,-0.04,-0.04,-0.04,45,6752492,datapoint
1520978132157,362,-0.04,-0.04,-0.04,43,6775680,datapoint
1520978132173,361,-0.04,-0.04,-0.04,42,6787880,datapoint
1520978132189,360,-0.04,-0.04,-0.04,41,6800096,datapoint
1520978132204,358,-0.04,-0.04,-0.04,39,6823284,datapoint
1520978132221,357,-0.04,-0.04,-0.04,38,6835500,datapoint
1520978132236,356,-0.04,-0.04,-0.04,36,6847716,datapoint
1520978132253,351,-0.04,-0.04,-0.04,35,6870932,datapoint
1520978132270,353,-0.04,-0.04,-0.04,33,6883132,datapoint
1520978132301,351,-0.04,-0.04,-0.04,32,6906336,datapoint
1520978132317,349,-0.04,-0.04,-0.04,29,6929556,datapoint
1520978132334,343,-0.04,-0.04,-0.04,27,6952748,datapoint
1520978132348,347,-0.04,-0.04,-0.04,26,6964948,datapoint
1520978132364,342,-0.04,-0.04,-0.04,25,6977140,datapoint
1520978132380,344,-0.04,-0.04,-0.04,24,7000356,datapoint
1520978132397,343,-0.04,-0.04,-0.04,22,7012568,datapoint
1520978132413,342,-0.04,-0.04,-0.04,21,7024768,datapoint
1520978132429,340,-0.04,-0.04,-0.04,19,7047956,datapoint
1520978132444,339,-0.04,-0.04,-0.04,18,7060172,datapoint
1520978132461,339,-0.04,-0.04,-0.04,16,7072364,datapoint
1520978132477,337,-0.04,-0.04,-0.04,15,7095556,datapoint
1520978132493,336,-0.04,-0.04,-0.04,13,7107756,datapoint
1520978132509,335,-0.04,-0.04,-0.04,12,7119976,datapoint
1520978132525,334,-0.04,-0.04,-0.04,10,7143176,datapoint
1520978132541,333,-0.04,-0.04,-0.04,9,7155364,datapoint
1520978132556,332,-0.04,-0.04,-0.04,8,7167540,datapoint
1520978132572,330,-0.04,-0.04,-0.04,6,7190724,datapoint
1520978132588,329,-0.04,-0.04,-0.04,5,7202904,datapoint
1520978132605,323,-0.04,-0.04,-0.04,3,7215084,datapoint
1520978132620,327,-0.04,-0.04,-0.04,2,7238260,datapoint
1520978132637,322,-0.04,-0.04,-0.04,0,7250440,datapoint
1520978132654,319,-0.04,-0.04,-0.04,0,7273580,datapoint
1520978132669,324,-0.04,-0.04,-0.04,0,7285708,datapoint
1520978132684,324,-0.04,-0.04,-0.04,2,7297884,datapoint
1520978132701,322,-0.04,-0.04,-0.04,3,7321064,datapoint
1520978132716,314,-0.04,-0.04,-0.04,5,7333252,datapoint
1520978132733,321,-0.04,-0.04,-0.04,6,7345440,datapoint
1520978132749,319,-0.04,-0.04,-0.04,8,7368632,datapoint
1520978132765,319,-0.04,-0.04,-0.04,9,7380820,datapoint
1520978132780,312,-0.04,-0.04,-0.04,10,7393012,datapoint
1520978132797,317,-0.04,-0.04,-0.04,12,7416208,datapoint
1520978132812,316,-0.04,-0.04,-0.04,13,7428428,datapoint
1520978132829,315,-0.04,-0.04,-0.04,15,7440652,datapoint
1520978132845,314,-0.04,-0.04,-0.04,16,7463844,datapoint
1520978132861,313,-0.04,-0.04,-0.04,18,7476044,datapoint
1520978132877,313,-0.04,-0.04,-0.04,19,7488248,datapoint
1520978132893,304,-0.04,-0.04,-0.04,21,7511464,datapoint
1520978132909,311,-0.04,-0.04,-0.04,22,7523672,datapoint
1520978132924,310,-0.04,-0.04,-0.04,24,7535892,datapoint
1520978132941,309,-0.04,-0.04,-0.04,25,7559092,datapoint
1520978132957,301,-0.04,-0.04,-0.04,27,7571280,datapoint
1520978132972,308,-0.04,-0.04,-0.04,27,7583440,datapoint
1520978132988,307,-0.04,-0.04,-0.04,29,7606640,datapoint
1520978133005,306,-0.04,-0.04,-0.04,30,7618852,datapoint
1520978133021,298,-0.04,-0.04,-0.04,32,7631064,datapoint
1520978133038,304,-0.04,-0.04,-0.04,33,7654248,datapoint
1520978133053,304,-0.04,-0.04,-0.04,35,7666452,datapoint
1520978133084,303,-0.04,-0.04,-0.04,36,7689664,datapoint
1520978133100,301,-0.04,-0.04,-0.04,39,7712864,datapoint
1520978133116,292,-0.04,-0.04,-0.04,41,7736064,datapoint
1520978133133,300,-0.04,-0.04,-0.04,42,7748260,datapoint
1520978133148,299,-0.04,-0.04,-0.04,44,7760464,datapoint
1520978133165,298,-0.04,-0.04,-0.04,45,7783664,datapoint
1520978133181,298,-0.04,-0.04,-0.04,46,7795864,datapoint
1520978133196,297,-0.04,-0.04,-0.04,48,7808064,datapoint
1520978133213,289,-0.04,-0.04,-0.04,49,7831268,datapoint
1520978133228,296,-0.04,-0.04,-0.04,51,7843464,datapoint
1520978133245,295,-0.04,-0.04,-0.04,52,7855656,datapoint
1520978133260,295,-0.04,-0.04,-0.04,54,7878864,datapoint
1520978133276,288,-0.04,-0.04,-0.04,55,7891064,datapoint
1520978133293,294,-0.04,-0.04,-0.04,57,7903268,datapoint
