Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004EBB
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520978456299,528,-0.04,-0.04,-0.04,0,5316764,datapoint
1520978456315,520,-0.04,-0.04,-0.04,171,5328968,datapoint
1520978456332,526,-0.04,-0.04,-0.04,170,5352200,datapoint
1520978456348,520,-0.04,-0.04,-0.04,168,5364424,datapoint
1520978456364,516,-0.04,-0.04,-0.04,167,5376652,datapoint
1520978456380,510,-0.04,-0.04,-0.04,166,5399872,datapoint
1520978456396,506,-0.04,-0.04,-0.04,165,5412108,datapoint
1520978456412,504,-0.04,-0.04,-0.04,163,5424336,datapoint
1520978456428,500,-0.04,-0.04,-0.04,162,5447552,datapoint
1520978456444,498,-0.04,-0.04,-0.04,160,5459784,datapoint
1520978456461,495,-0.04,-0.04,-0.04,159,5472016,datapoint
1520978456476,492,-0.04,-0.04,-0.04,157,5495232,datapoint
1520978456492,490,-0.04,-0.04,-0.04,156,5507468,datapoint
1520978456524,487,-0.04,-0.04,-0.04,154,5530724,datapoint
1520978456540,483,-0.04,-0.04,-0.04,151,5553948,datapoint
1520978456556,477,-0.04,-0.04,-0.04,150,5577176,datapoint
1520978456571,475,-0.04,-0.04,-0.04,149,5589416,datapoint
1520978456588,473,-0.04,-0.04,-0.04,147,5601656,datapoint
1520978456604,470,-0.04,-0.04,-0.04,146,5624896,datapoint
1520978456619,468,-0.04,-0.04,-0.04,144,5637116,datapoint
1520978456636,466,-0.04,-0.04,-0.04,143,5649340,datapoint
1520978456651,470,-0.04,-0.04,-0.04,141,5672580,datapoint
1520978456667,461,-0.04,-0.04,-0.04,140,5684808,datapoint
1520978456684,460,-0.04,-0.04,-0.04,138,5697028,datapoint
1520978456701,457,-0.04,-0.04,-0.04,137,5720248,datapoint
1520978456717,455,-0.04,-0.04,-0.04,135,5732472,datapoint
1520978456748,452,-0.04,-0.04,-0.04,134,5755684,datapoint
1520978456763,449,-0.04,-0.04,-0.04,132,5778912,datapoint
1520978456780,448,-0.04,-0.04,-0.04,130,5791160,datapoint
1520978456795,448,-0.04,-0.04,-0.04,129,5814388,datapoint
1520978456812,443,-0.04,-0.04,-0.04,127,5826612,datapoint
1520978456828,440,-0.04,-0.04,-0.04,126,5849824,datapoint
1520978456844,438,-0.04,-0.04,-0.04,124,5862060,datapoint
1520978456860,441,-0.04,-0.04,-0.04,123,5874288,datapoint
1520978456876,434,-0.04,-0.04,-0.04,121,5897516,datapoint
1520978456892,433,-0.04,-0.04,-0.04,120,5909744,datapoint
1520978456907,432,-0.04,-0.04,-0.04,118,5921984,datapoint
1520978456925,432,-0.04,-0.04,-0.04,117,5945200,datapoint
1520978456940,435,-0.04,-0.04,-0.04,115,5957420,datapoint
1520978456955,434,-0.04,-0.04,-0.04,114,5969648,datapoint
1520978456972,437,-0.04,-0.04,-0.04,113,5992888,datapoint
1520978456988,430,-0.04,-0.04,-0.04,111,6005116,datapoint
1520978457004,429,-0.04,-0.04,-0.04,110,6017344,datapoint
1520978457019,426,-0.04,-0.04,-0.04,108,6040564,datapoint
1520978457036,429,-0.04,-0.04,-0.04,107,6052780,datapoint
1520978457052,424,-0.04,-0.04,-0.04,105,6065000,datapoint
1520978457068,421,-0.04,-0.04,-0.04,104,6088228,datapoint
1520978457085,420,-0.04,-0.04,-0.04,102,6100460,datapoint
1520978457100,421,-0.04,-0.04,-0.04,101,6112696,datapoint
1520978457116,416,-0.04,-0.04,-0.04,99,6135916,datapoint
1520978457133,414,-0.04,-0.04,-0.04,98,6148120,datapoint
1520978457163,410,-0.04,-0.04,-0.04,96,6171324,datapoint
1520978457180,409,-0.04,-0.04,-0.04,94,6194520,datapoint
1520978457195,405,-0.04,-0.04,-0.04,93,6217712,datapoint
1520978457212,403,-0.04,-0.04,-0.04,91,6229928,datapoint
