Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004EC1
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520978812726,546,-0.04,-0.04,-0.04,0,5316764,datapoint
1520978812741,538,-0.04,-0.04,-0.04,175,5328968,datapoint
1520978812757,545,-0.04,-0.04,-0.04,174,5352200,datapoint
1520978812774,542,-0.04,-0.04,-0.04,173,5364420,datapoint
1520978812789,537,-0.04,-0.04,-0.04,171,5376648,datapoint
1520978812805,530,-0.04,-0.04,-0.04,170,5399872,datapoint
1520978812822,526,-0.04,-0.04,-0.04,168,5412108,datapoint
1520978812837,525,-0.04,-0.04,-0.04,167,5424336,datapoint
1520978812853,521,-0.04,-0.04,-0.04,165,5447552,datapoint
1520978812869,519,-0.04,-0.04,-0.04,164,5459788,datapoint
1520978812885,516,-0.04,-0.04,-0.04,162,5472020,datapoint
1520978812902,513,-0.04,-0.04,-0.04,161,5495252,datapoint
1520978812918,511,-0.04,-0.04,-0.04,159,5507484,datapoint
1520978812949,507,-0.04,-0.04,-0.04,158,5530728,datapoint
1520978812965,504,-0.04,-0.04,-0.04,155,5553952,datapoint
1520978812982,500,-0.04,-0.04,-0.04,154,5577188,datapoint
1520978812997,495,-0.04,-0.04,-0.04,153,5589428,datapoint
1520978813014,493,-0.04,-0.04,-0.04,151,5601672,datapoint
1520978813029,490,-0.04,-0.04,-0.04,150,5624908,datapoint
1520978813046,488,-0.04,-0.04,-0.04,148,5637132,datapoint
1520978813061,486,-0.04,-0.04,-0.04,147,5649348,datapoint
1520978813077,491,-0.04,-0.04,-0.04,145,5672576,datapoint
1520978813093,481,-0.04,-0.04,-0.04,144,5684808,datapoint
1520978813109,479,-0.04,-0.04,-0.04,142,5697028,datapoint
1520978813125,476,-0.04,-0.04,-0.04,141,5720252,datapoint
1520978813145,474,-0.04,-0.04,-0.04,139,5732472,datapoint
1520978813173,471,-0.04,-0.04,-0.04,138,5755684,datapoint
1520978813189,467,-0.04,-0.04,-0.04,135,5778912,datapoint
1520978813206,466,-0.04,-0.04,-0.04,134,5791152,datapoint
1520978813221,463,-0.04,-0.04,-0.04,132,5814368,datapoint
1520978813238,461,-0.04,-0.04,-0.04,131,5826588,datapoint
1520978813254,458,-0.04,-0.04,-0.04,129,5849796,datapoint
1520978813270,457,-0.04,-0.04,-0.04,128,5862040,datapoint
1520978813286,461,-0.04,-0.04,-0.04,126,5874256,datapoint
1520978813302,453,-0.04,-0.04,-0.04,125,5897484,datapoint
1520978813317,451,-0.04,-0.04,-0.04,123,5909716,datapoint
1520978813333,450,-0.04,-0.04,-0.04,122,5921956,datapoint
1520978813350,447,-0.04,-0.04,-0.04,120,5945164,datapoint
1520978813366,446,-0.04,-0.04,-0.04,119,5957392,datapoint
1520978813381,444,-0.04,-0.04,-0.04,117,5969620,datapoint
1520978813398,446,-0.04,-0.04,-0.04,117,5992812,datapoint
1520978813413,440,-0.04,-0.04,-0.04,115,6005048,datapoint
1520978813429,439,-0.04,-0.04,-0.04,114,6017284,datapoint
1520978813446,436,-0.04,-0.04,-0.04,112,6040496,datapoint
1520978813461,438,-0.04,-0.04,-0.04,111,6052724,datapoint
1520978813477,433,-0.04,-0.04,-0.04,109,6064948,datapoint
1520978813493,430,-0.04,-0.04,-0.04,108,6088184,datapoint
1520978813509,429,-0.04,-0.04,-0.04,106,6100420,datapoint
1520978813526,431,-0.04,-0.04,-0.04,105,6112648,datapoint
1520978813543,425,-0.04,-0.04,-0.04,103,6135884,datapoint
1520978813557,424,-0.04,-0.04,-0.04,102,6148108,datapoint
1520978813573,422,-0.04,-0.04,-0.04,100,6160336,datapoint
1520978813590,420,-0.04,-0.04,-0.04,99,6183552,datapoint
1520978813606,419,-0.04,-0.04,-0.04,97,6195752,datapoint
1520978813621,417,-0.04,-0.04,-0.04,96,6207964,datapoint
1520978813638,412,-0.04,-0.04,-0.04,95,6231192,datapoint
1520978813653,413,-0.04,-0.04,-0.04,93,6243392,datapoint
1520978813670,414,-0.04,-0.04,-0.04,92,6255584,datapoint
1520978813686,410,-0.04,-0.04,-0.04,90,6278784,datapoint
1520978813702,409,-0.04,-0.04,-0.04,89,6290988,datapoint
1520978813733,406,-0.04,-0.04,-0.04,87,6314192,datapoint
1520978813748,404,-0.04,-0.04,-0.04,85,6337376,datapoint
1520978813765,401,-0.04,-0.04,-0.04,84,6360568,datapoint
1520978813781,401,-0.04,-0.04,-0.04,82,6372780,datapoint
1520978813797,399,-0.04,-0.04,-0.04,81,6384992,datapoint
1520978813813,396,-0.04,-0.04,-0.04,79,6408220,datapoint
1520978813828,395,-0.04,-0.04,-0.04,78,6420408,datapoint
1520978813845,397,-0.04,-0.04,-0.04,76,6432608,datapoint
1520978813861,391,-0.04,-0.04,-0.04,75,6455808,datapoint
1520978813877,390,-0.04,-0.04,-0.04,73,6468024,datapoint
1520978813894,389,-0.04,-0.04,-0.04,72,6480248,datapoint
1520978813910,386,-0.04,-0.04,-0.04,70,6503468,datapoint
1520978813925,385,-0.04,-0.04,-0.04,69,6515656,datapoint
1520978813941,384,-0.04,-0.04,-0.04,67,6527848,datapoint
1520978813958,378,-0.04,-0.04,-0.04,66,6551056,datapoint
1520978813973,381,-0.04,-0.04,-0.04,64,6563264,datapoint
1520978813990,379,-0.04,-0.04,-0.04,63,6575472,datapoint
1520978814005,377,-0.04,-0.04,-0.04,62,6598696,datapoint
1520978814021,374,-0.04,-0.04,-0.04,60,6610888,datapoint
1520978814037,375,-0.04,-0.04,-0.04,59,6623084,datapoint
1520978814052,374,-0.04,-0.04,-0.04,57,6646276,datapoint
1520978814069,373,-0.04,-0.04,-0.04,56,6658488,datapoint
1520978814101,371,-0.04,-0.04,-0.04,54,6681700,datapoint
1520978814117,369,-0.04,-0.04,-0.04,51,6704896,datapoint
1520978814134,367,-0.04,-0.04,-0.04,50,6728100,datapoint
1520978814150,366,-0.04,-0.04,-0.04,48,6740328,datapoint
1520978814165,364,-0.04,-0.04,-0.04,47,6752540,datapoint
1520978814180,363,-0.04,-0.04,-0.04,45,6775736,datapoint
1520978814196,362,-0.04,-0.04,-0.04,45,6787884,datapoint
1520978814213,361,-0.04,-0.04,-0.04,43,6800096,datapoint
1520978814229,359,-0.04,-0.04,-0.04,42,6823296,datapoint
1520978814245,358,-0.04,-0.04,-0.04,40,6835508,datapoint
1520978814261,357,-0.04,-0.04,-0.04,39,6847716,datapoint
1520978814277,355,-0.04,-0.04,-0.04,37,6870932,datapoint
1520978814293,354,-0.04,-0.04,-0.04,36,6883132,datapoint
1520978814309,350,-0.04,-0.04,-0.04,34,6895336,datapoint
1520978814325,351,-0.04,-0.04,-0.04,33,6918536,datapoint
1520978814341,347,-0.04,-0.04,-0.04,31,6930752,datapoint
1520978814356,350,-0.04,-0.04,-0.04,30,6942956,datapoint
1520978814373,348,-0.04,-0.04,-0.04,29,6966140,datapoint
1520978814389,347,-0.04,-0.04,-0.04,27,6978336,datapoint
1520978814420,345,-0.04,-0.04,-0.04,26,7001536,datapoint
1520978814437,343,-0.04,-0.04,-0.04,23,7024752,datapoint
1520978814453,341,-0.04,-0.04,-0.04,21,7047952,datapoint
1520978814469,340,-0.04,-0.04,-0.04,20,7060160,datapoint
1520978814485,346,-0.04,-0.04,-0.04,18,7072368,datapoint
1520978814502,339,-0.04,-0.04,-0.04,17,7095556,datapoint
1520978814517,338,-0.04,-0.04,-0.04,15,7107764,datapoint
1520978814533,338,-0.04,-0.04,-0.04,14,7119984,datapoint
1520978814549,338,-0.04,-0.04,-0.04,12,7143176,datapoint
1520978814565,337,-0.04,-0.04,-0.04,11,7155376,datapoint
1520978814581,336,-0.04,-0.04,-0.04,9,7167576,datapoint
1520978814597,325,-0.04,-0.04,-0.04,9,7190732,datapoint
1520978814613,333,-0.04,-0.04,-0.04,7,7202904,datapoint
1520978814629,333,-0.04,-0.04,-0.04,6,7215084,datapoint
1520978814645,330,-0.04,-0.04,-0.04,4,7238260,datapoint
1520978814661,324,-0.04,-0.04,-0.04,3,7250440,datapoint
1520978814693,327,-0.04,-0.04,-0.04,1,7273624,datapoint
1520978814710,326,-0.04,-0.04,-0.04,0,7296800,datapoint
1520978814725,324,-0.04,-0.04,-0.04,1,7319980,datapoint
1520978814741,314,-0.04,-0.04,-0.04,3,7332160,datapoint
1520978814757,323,-0.04,-0.04,-0.04,4,7344348,datapoint
1520978814773,321,-0.04,-0.04,-0.04,5,7367512,datapoint
1520978814789,320,-0.04,-0.04,-0.04,6,7379692,datapoint
1520978814804,313,-0.04,-0.04,-0.04,8,7391876,datapoint
1520978814820,319,-0.04,-0.04,-0.04,9,7415068,datapoint
1520978814836,318,-0.04,-0.04,-0.04,11,7427264,datapoint
1520978814853,317,-0.04,-0.04,-0.04,12,7439464,datapoint
1520978814869,316,-0.04,-0.04,-0.04,14,7462656,datapoint
1520978814884,315,-0.04,-0.04,-0.04,15,7474856,datapoint
1520978814901,314,-0.04,-0.04,-0.04,17,7487064,datapoint
1520978814916,313,-0.04,-0.04,-0.04,18,7510256,datapoint
1520978814932,312,-0.04,-0.04,-0.04,20,7522456,datapoint
1520978814948,305,-0.04,-0.04,-0.04,21,7534656,datapoint
1520978814965,311,-0.04,-0.04,-0.04,22,7557844,datapoint
1520978814980,310,-0.04,-0.04,-0.04,24,7570040,datapoint
1520978814996,309,-0.04,-0.04,-0.04,25,7593244,datapoint
1520978815012,308,-0.04,-0.04,-0.04,27,7605456,datapoint
1520978815029,307,-0.04,-0.04,-0.04,28,7617656,datapoint
1520978815044,306,-0.04,-0.04,-0.04,30,7640864,datapoint
1520978815061,298,-0.04,-0.04,-0.04,31,7653064,datapoint
1520978815076,305,-0.04,-0.04,-0.04,33,7665268,datapoint
1520978815092,304,-0.04,-0.04,-0.04,34,7688484,datapoint
1520978815108,303,-0.04,-0.04,-0.04,36,7700692,datapoint
1520978815125,295,-0.04,-0.04,-0.04,37,7712888,datapoint
1520978815141,301,-0.04,-0.04,-0.04,39,7736084,datapoint
1520978815157,301,-0.04,-0.04,-0.04,40,7748280,datapoint
1520978815173,300,-0.04,-0.04,-0.04,42,7760500,datapoint
1520978815188,299,-0.04,-0.04,-0.04,42,7783652,datapoint
1520978815204,299,-0.04,-0.04,-0.04,44,7795844,datapoint
1520978815220,298,-0.04,-0.04,-0.04,45,7808044,datapoint
1520978815237,288,-0.04,-0.04,-0.04,47,7831240,datapoint
1520978815252,297,-0.04,-0.04,-0.04,48,7843440,datapoint
1520978815269,288,-0.04,-0.04,-0.04,50,7855640,datapoint
1520978815284,295,-0.04,-0.04,-0.04,51,7878836,datapoint
1520978815301,289,-0.04,-0.04,-0.04,53,7891028,datapoint
1520978815316,294,-0.04,-0.04,-0.04,54,7903228,datapoint
1520978815332,293,-0.04,-0.04,-0.04,56,7926420,datapoint
1520978815349,293,-0.04,-0.04,-0.04,57,7938620,datapoint
1520978815364,293,-0.04,-0.04,-0.04,58,7950820,datapoint
1520978815381,292,-0.04,-0.04,-0.04,60,7974024,datapoint
1520978815396,291,-0.04,-0.04,-0.04,61,7986228,datapoint
1520978815412,291,-0.04,-0.04,-0.04,63,7998416,datapoint
1520978815428,290,-0.04,-0.04,-0.04,64,8021620,datapoint
1520978815444,289,-0.04,-0.04,-0.04,64,8033768,datapoint
1520978815462,289,-0.04,-0.04,-0.04,64,8045944,datapoint
1520978815477,288,-0.04,-0.04,-0.04,64,8069108,datapoint
1520978815493,288,-0.04,-0.04,-0.04,64,8081284,datapoint
1520978815508,287,-0.04,-0.04,-0.04,64,8104424,datapoint
1520978815524,286,-0.04,-0.04,-0.04,64,8116584,datapoint
1520978815540,286,-0.04,-0.04,-0.04,64,8128764,datapoint
1520978815556,273,-0.04,-0.04,-0.04,64,8151908,datapoint
1520978815572,285,-0.04,-0.04,-0.04,64,8164060,datapoint
1520978815593,285,-0.04,-0.04,-0.04,64,8176212,datapoint
1520978815604,284,-0.04,-0.04,-0.04,64,8199356,datapoint
1520978815620,284,-0.04,-0.04,-0.04,64,8211504,datapoint
1520978815636,283,-0.04,-0.04,-0.04,64,8223648,datapoint
1520978815652,283,-0.04,-0.04,-0.04,64,8246788,datapoint
1520978815668,282,-0.04,-0.04,-0.04,64,8258952,datapoint
1520978815684,282,-0.04,-0.04,-0.04,64,8271116,datapoint
1520978815700,281,-0.04,-0.04,-0.04,64,8294268,datapoint
1520978815716,281,-0.04,-0.04,-0.04,64,8306416,datapoint
1520978815732,281,-0.04,-0.04,-0.04,64,8318568,datapoint
1520978815749,280,-0.04,-0.04,-0.04,64,8341732,datapoint
1520978815764,280,-0.04,-0.04,-0.04,64,8353876,datapoint
1520978815780,280,-0.04,-0.04,-0.04,64,8366016,datapoint
1520978815796,279,-0.04,-0.04,-0.04,64,8389168,datapoint
1520978815809,null,null,null,null,null,null,start experiment
1520978815812,279,-0.04,-0.04,-0.04,64,8401344,datapoint
1520978815827,278,-0.04,-0.04,-0.04,64,8424492,datapoint
1520978815844,278,-0.04,-0.04,-0.04,1,8436668,datapoint
1520978815860,278,-0.04,-0.04,-0.04,3,8448860,datapoint
1520978815877,269,-0.04,-0.04,-0.04,4,8472052,datapoint
1520978815892,270,-0.04,-0.04,-0.04,6,8484236,datapoint
1520978815908,271,-0.04,-0.04,-0.04,7,8496424,datapoint
1520978815924,271,-0.04,-0.04,-0.04,9,8519588,datapoint
1520978815940,271,-0.04,-0.04,-0.04,10,8531776,datapoint
1520978815956,271,-0.04,-0.04,-0.04,12,8543976,datapoint
1520978815972,270,-0.04,-0.04,-0.04,13,8567176,datapoint
1520978815988,270,-0.04,-0.04,-0.04,14,8579380,datapoint
1520978816004,270,-0.04,-0.04,-0.04,15,8591592,datapoint
1520978816021,270,-0.04,-0.04,-0.04,17,8614780,datapoint
1520978816036,272,-0.04,-0.04,-0.04,18,8626976,datapoint
1520978816052,272,-0.04,-0.04,-0.04,20,8639172,datapoint
1520978816067,271,-0.04,-0.04,-0.04,21,8662376,datapoint
1520978816084,257,-0.04,-0.04,-0.04,23,8674596,datapoint
1520978816100,271,-0.04,-0.04,-0.04,24,8686812,datapoint
1520978816116,270,-0.04,-0.04,-0.04,26,8710008,datapoint
1520978816132,270,-0.04,-0.04,-0.04,27,8722200,datapoint
1520978816149,259,-0.04,-0.04,-0.04,29,8734400,datapoint
1520978816165,269,-0.04,-0.04,-0.04,30,8757608,datapoint
1520978816180,269,-0.04,-0.04,-0.04,32,8769840,datapoint
