Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004ECB
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520979390330,553,-0.04,-0.04,-0.04,0,5316764,datapoint
1520979390346,544,-0.04,-0.04,-0.04,104,5328968,datapoint
1520979390361,556,-0.04,-0.04,-0.04,105,5352200,datapoint
1520979390379,549,-0.04,-0.04,-0.04,107,5364424,datapoint
1520979390409,532,-0.04,-0.04,-0.04,108,5387652,datapoint
1520979390426,528,-0.04,-0.04,-0.04,111,5410908,datapoint
1520979390457,532,-0.04,-0.04,-0.04,112,5434132,datapoint
1520979390473,519,-0.04,-0.04,-0.04,115,5457352,datapoint
1520979390488,515,-0.04,-0.04,-0.04,117,5480572,datapoint
1520979390505,524,-0.04,-0.04,-0.04,118,5492796,datapoint
1520979390520,511,-0.04,-0.04,-0.04,120,5505012,datapoint
1520979390538,507,-0.04,-0.04,-0.04,121,5528244,datapoint
1520979390553,505,-0.04,-0.04,-0.04,123,5540472,datapoint
1520979390570,513,-0.04,-0.04,-0.04,124,5552692,datapoint
1520979390586,500,-0.04,-0.04,-0.04,126,5575924,datapoint
1520979390601,498,-0.04,-0.04,-0.04,127,5588168,datapoint
1520979390616,496,-0.04,-0.04,-0.04,129,5600392,datapoint
1520979390634,493,-0.04,-0.04,-0.04,129,5623560,datapoint
1520979390649,491,-0.04,-0.04,-0.04,131,5635780,datapoint
1520979390665,489,-0.04,-0.04,-0.04,132,5648004,datapoint
1520979390681,487,-0.04,-0.04,-0.04,134,5671252,datapoint
1520979390697,485,-0.04,-0.04,-0.04,135,5683488,datapoint
1520979390715,491,-0.04,-0.04,-0.04,137,5695712,datapoint
1520979390729,480,-0.04,-0.04,-0.04,138,5718928,datapoint
1520979390746,479,-0.04,-0.04,-0.04,140,5731152,datapoint
1520979390776,482,-0.04,-0.04,-0.04,141,5754380,datapoint
1520979390794,472,-0.04,-0.04,-0.04,144,5777608,datapoint
1520979390808,469,-0.04,-0.04,-0.04,146,5800816,datapoint
1520979390825,473,-0.04,-0.04,-0.04,147,5813044,datapoint
1520979390842,465,-0.04,-0.04,-0.04,148,5825272,datapoint
1520979390857,462,-0.04,-0.04,-0.04,150,5848520,datapoint
1520979390873,460,-0.04,-0.04,-0.04,151,5860744,datapoint
1520979390890,464,-0.04,-0.04,-0.04,153,5872968,datapoint
1520979390906,461,-0.04,-0.04,-0.04,154,5896208,datapoint
1520979390921,455,-0.04,-0.04,-0.04,156,5908444,datapoint
1520979390937,453,-0.04,-0.04,-0.04,157,5920664,datapoint
1520979390953,450,-0.04,-0.04,-0.04,159,5943880,datapoint
1520979390970,454,-0.04,-0.04,-0.04,160,5956100,datapoint
1520979391000,446,-0.04,-0.04,-0.04,162,5979320,datapoint
