Robot Emotion Regulation Study Early 2018
Zak Witkower, Laura Cang, Paul Bucci
zakwitkower@gmail.com, cang@cs.ubc.ca, pbucci@cs.ubc.ca
Participant ID: 004ECF
Condition ID: 1
-------------------------------------------------------------

unix_timestamp,heart_rate_voltage,accelerometer_x,accelerometer_y,accelerometer_z,servo_position,arduino_timestamp,note
1520979607291,529,-0.04,-0.04,-0.04,0,5316764,datapoint
1520979607323,518,-0.04,-0.04,-0.04,158,5339956,datapoint
1520979607338,522,-0.04,-0.04,-0.04,160,5363188,datapoint
1520979607355,515,-0.04,-0.04,-0.04,162,5386416,datapoint
1520979607370,512,-0.04,-0.04,-0.04,163,5398640,datapoint
1520979607386,509,-0.04,-0.04,-0.04,165,5410872,datapoint
1520979607402,504,-0.04,-0.04,-0.04,166,5434092,datapoint
1520979607418,502,-0.04,-0.04,-0.04,168,5446316,datapoint
1520979607434,500,-0.04,-0.04,-0.04,169,5458532,datapoint
1520979607450,496,-0.04,-0.04,-0.04,171,5481752,datapoint
1520979607467,494,-0.04,-0.04,-0.04,172,5493976,datapoint
1520979607483,492,-0.04,-0.04,-0.04,174,5506192,datapoint
1520979607499,488,-0.04,-0.04,-0.04,174,5529368,datapoint
1520979607514,486,-0.04,-0.04,-0.04,177,5541584,datapoint
1520979607531,484,-0.04,-0.04,-0.04,177,5553764,datapoint
1520979607547,480,-0.04,-0.04,-0.04,179,5577000,datapoint
1520979607563,478,-0.04,-0.04,-0.04,177,5589232,datapoint
1520979607578,476,-0.04,-0.04,-0.04,176,5601460,datapoint
1520979607594,473,-0.04,-0.04,-0.04,174,5624672,datapoint
1520979607611,471,-0.04,-0.04,-0.04,173,5636896,datapoint
1520979607642,465,-0.04,-0.04,-0.04,171,5660148,datapoint
1520979607659,462,-0.04,-0.04,-0.04,168,5683372,datapoint
1520979607676,459,-0.04,-0.04,-0.04,167,5706580,datapoint
1520979607690,457,-0.04,-0.04,-0.04,165,5718812,datapoint
1520979607708,455,-0.04,-0.04,-0.04,165,5730992,datapoint
1520979607723,452,-0.04,-0.04,-0.04,163,5754220,datapoint
1520979607739,450,-0.04,-0.04,-0.04,162,5766456,datapoint
1520979607754,449,-0.04,-0.04,-0.04,160,5778680,datapoint
1520979607770,445,-0.04,-0.04,-0.04,159,5801900,datapoint
1520979607787,444,-0.04,-0.04,-0.04,157,5814116,datapoint
1520979607803,442,-0.04,-0.04,-0.04,156,5826336,datapoint
1520979607819,439,-0.04,-0.04,-0.04,154,5849560,datapoint
1520979607835,437,-0.04,-0.04,-0.04,153,5861820,datapoint
1520979607852,439,-0.04,-0.04,-0.04,151,5874052,datapoint
1520979607867,433,-0.04,-0.04,-0.04,150,5897280,datapoint
1520979607882,431,-0.04,-0.04,-0.04,148,5909500,datapoint
1520979607898,430,-0.04,-0.04,-0.04,147,5921740,datapoint
1520979607915,427,-0.04,-0.04,-0.04,146,5944964,datapoint
1520979607931,425,-0.04,-0.04,-0.04,144,5957192,datapoint
1520979607946,423,-0.04,-0.04,-0.04,143,5969412,datapoint
1520979607963,420,-0.04,-0.04,-0.04,141,5992656,datapoint
1520979607979,419,-0.04,-0.04,-0.04,140,6004884,datapoint
1520979607995,417,-0.04,-0.04,-0.04,138,6017108,datapoint
1520979608011,414,-0.04,-0.04,-0.04,137,6040348,datapoint
1520979608027,415,-0.04,-0.04,-0.04,135,6052568,datapoint
1520979608058,410,-0.04,-0.04,-0.04,134,6075788,datapoint
1520979608075,408,-0.04,-0.04,-0.04,131,6099012,datapoint
1520979608091,405,-0.04,-0.04,-0.04,129,6122224,datapoint
1520979608106,405,-0.04,-0.04,-0.04,129,6134396,datapoint
1520979608122,402,-0.04,-0.04,-0.04,127,6146616,datapoint
1520979608139,400,-0.04,-0.04,-0.04,126,6169848,datapoint
1520979608154,399,-0.04,-0.04,-0.04,124,6182088,datapoint
1520979608171,398,-0.04,-0.04,-0.04,123,6194304,datapoint
1520979608186,395,-0.04,-0.04,-0.04,121,6217524,datapoint
1520979608202,394,-0.04,-0.04,-0.04,120,6229756,datapoint
1520979608219,393,-0.04,-0.04,-0.04,118,6241996,datapoint
1520979608236,391,-0.04,-0.04,-0.04,117,6265216,datapoint
1520979608251,390,-0.04,-0.04,-0.04,115,6277452,datapoint
1520979608267,389,-0.04,-0.04,-0.04,114,6289680,datapoint
1520979608282,386,-0.04,-0.04,-0.04,112,6312916,datapoint
1520979608300,385,-0.04,-0.04,-0.04,111,6325144,datapoint
1520979608314,384,-0.04,-0.04,-0.04,109,6337372,datapoint
1520979608330,382,-0.04,-0.04,-0.04,108,6360596,datapoint
1520979608346,380,-0.04,-0.04,-0.04,107,6372816,datapoint
1520979608363,380,-0.04,-0.04,-0.04,105,6385040,datapoint
1520979608379,378,-0.04,-0.04,-0.04,104,6408280,datapoint
1520979608395,377,-0.04,-0.04,-0.04,102,6420500,datapoint
1520979608426,376,-0.04,-0.04,-0.04,101,6443712,datapoint
1520979608444,374,-0.04,-0.04,-0.04,99,6466928,datapoint
1520979608459,372,-0.04,-0.04,-0.04,96,6490156,datapoint
1520979608474,371,-0.04,-0.04,-0.04,95,6502356,datapoint
1520979608490,368,-0.04,-0.04,-0.04,93,6514556,datapoint
1520979608506,369,-0.04,-0.04,-0.04,93,6537696,datapoint
1520979608523,368,-0.04,-0.04,-0.04,91,6549928,datapoint
1520979608538,367,-0.04,-0.04,-0.04,90,6562136,datapoint
1520979608555,365,-0.04,-0.04,-0.04,88,6585340,datapoint
1520979608571,364,-0.04,-0.04,-0.04,87,6597536,datapoint
1520979608587,363,-0.04,-0.04,-0.04,85,6609744,datapoint
1520979608603,362,-0.04,-0.04,-0.04,84,6632952,datapoint
1520979608619,360,-0.04,-0.04,-0.04,82,6645168,datapoint
1520979608635,359,-0.04,-0.04,-0.04,81,6657380,datapoint
1520979608652,356,-0.04,-0.04,-0.04,79,6680596,datapoint
1520979608666,362,-0.04,-0.04,-0.04,78,6692784,datapoint
1520979608682,355,-0.04,-0.04,-0.04,77,6704980,datapoint
1520979608699,352,-0.04,-0.04,-0.04,75,6728184,datapoint
1520979608715,351,-0.04,-0.04,-0.04,73,6740404,datapoint
1520979608730,346,-0.04,-0.04,-0.04,72,6752620,datapoint
1520979608747,348,-0.04,-0.04,-0.04,71,6775836,datapoint
1520979608763,346,-0.04,-0.04,-0.04,69,6788024,datapoint
1520979608794,337,-0.04,-0.04,-0.04,68,6811244,datapoint
1520979608810,342,-0.04,-0.04,-0.04,65,6834440,datapoint
1520979608827,339,-0.04,-0.04,-0.04,63,6857636,datapoint
1520979608842,338,-0.04,-0.04,-0.04,62,6869840,datapoint
1520979608858,337,-0.04,-0.04,-0.04,60,6882044,datapoint
1520979608873,335,-0.04,-0.04,-0.04,60,6905192,datapoint
1520979608892,333,-0.04,-0.04,-0.04,58,6917416,datapoint
1520979608907,332,-0.04,-0.04,-0.04,57,6929648,datapoint
1520979608922,330,-0.04,-0.04,-0.04,57,6952788,datapoint
1520979608938,329,-0.04,-0.04,-0.04,57,6964944,datapoint
1520979608954,328,-0.04,-0.04,-0.04,57,6977092,datapoint
1520979608969,325,-0.04,-0.04,-0.04,57,7000248,datapoint
1520979608985,324,-0.04,-0.04,-0.04,57,7012388,datapoint
1520979609002,323,-0.04,-0.04,-0.04,57,7024528,datapoint
1520979609017,321,-0.04,-0.04,-0.04,57,7047684,datapoint
1520979609035,320,-0.04,-0.04,-0.04,57,7059856,datapoint
1520979609066,318,-0.04,-0.04,-0.04,57,7083016,datapoint
1520979609081,316,-0.04,-0.04,-0.04,57,7106164,datapoint
1520979609097,314,-0.04,-0.04,-0.04,57,7129324,datapoint
1520979609114,313,-0.04,-0.04,-0.04,57,7141496,datapoint
1520979609130,312,-0.04,-0.04,-0.04,57,7153644,datapoint
1520979609146,311,-0.04,-0.04,-0.04,57,7176784,datapoint
1520979609162,310,-0.04,-0.04,-0.04,57,7188940,datapoint
1520979609178,309,-0.04,-0.04,-0.04,57,7201120,datapoint
1520979609194,307,-0.04,-0.04,-0.04,57,7224284,datapoint
1520979609210,306,-0.04,-0.04,-0.04,57,7236440,datapoint
1520979609226,305,-0.04,-0.04,-0.04,57,7248604,datapoint
1520979609242,304,-0.04,-0.04,-0.04,57,7271752,datapoint
1520979609258,303,-0.04,-0.04,-0.04,57,7283912,datapoint
1520979609268,null,null,null,null,null,null,start experiment
1520979609275,302,-0.04,-0.04,-0.04,57,7296072,datapoint
1520979609291,301,-0.04,-0.04,-0.04,57,7319204,datapoint
1520979609307,300,-0.04,-0.04,-0.04,1,7331388,datapoint
1520979609321,289,-0.04,-0.04,-0.04,3,7354572,datapoint
1520979609337,291,-0.04,-0.04,-0.04,4,7366744,datapoint
1520979609355,293,-0.04,-0.04,-0.04,6,7378916,datapoint
1520979609371,292,-0.04,-0.04,-0.04,6,7402044,datapoint
1520979609386,292,-0.04,-0.04,-0.04,9,7414228,datapoint
1520979609401,291,-0.04,-0.04,-0.04,9,7426364,datapoint
1520979609419,290,-0.04,-0.04,-0.04,11,7449560,datapoint
1520979609434,289,-0.04,-0.04,-0.04,12,7461760,datapoint
1520979609450,289,-0.04,-0.04,-0.04,14,7473952,datapoint
1520979609465,287,-0.04,-0.04,-0.04,15,7497148,datapoint
1520979609482,289,-0.04,-0.04,-0.04,17,7509376,datapoint
1520979609498,288,-0.04,-0.04,-0.04,18,7521588,datapoint
1520979609514,287,-0.04,-0.04,-0.04,20,7544784,datapoint
1520979609529,276,-0.04,-0.04,-0.04,21,7556988,datapoint
1520979609546,286,-0.04,-0.04,-0.04,23,7569208,datapoint
1520979609563,275,-0.04,-0.04,-0.04,24,7592408,datapoint
1520979609578,284,-0.04,-0.04,-0.04,25,7604616,datapoint
1520979609595,283,-0.04,-0.04,-0.04,27,7616832,datapoint
1520979609610,282,-0.04,-0.04,-0.04,28,7640036,datapoint
1520979609626,273,-0.04,-0.04,-0.04,30,7652240,datapoint
1520979609642,281,-0.04,-0.04,-0.04,31,7664440,datapoint
1520979609659,280,-0.04,-0.04,-0.04,33,7687644,datapoint
1520979609674,279,-0.04,-0.04,-0.04,34,7699880,datapoint
1520979609690,270,-0.04,-0.04,-0.04,36,7712096,datapoint
1520979609707,278,-0.04,-0.04,-0.04,37,7735316,datapoint
1520979609722,277,-0.04,-0.04,-0.04,39,7747504,datapoint
1520979609754,276,-0.04,-0.04,-0.04,40,7770712,datapoint
1520979609771,275,-0.04,-0.04,-0.04,43,7793912,datapoint
1520979609786,274,-0.04,-0.04,-0.04,45,7817108,datapoint
1520979609802,274,-0.04,-0.04,-0.04,45,7829260,datapoint
1520979609818,273,-0.04,-0.04,-0.04,47,7841468,datapoint
1520979609833,272,-0.04,-0.04,-0.04,48,7864672,datapoint
1520979609850,272,-0.04,-0.04,-0.04,50,7876892,datapoint
1520979609866,272,-0.04,-0.04,-0.04,51,7889104,datapoint
1520979609882,260,-0.04,-0.04,-0.04,53,7912308,datapoint
1520979609898,271,-0.04,-0.04,-0.04,54,7924504,datapoint
1520979609914,260,-0.04,-0.04,-0.04,56,7936704,datapoint
1520979609930,269,-0.04,-0.04,-0.04,57,7959920,datapoint
1520979609946,259,-0.04,-0.04,-0.04,58,7972132,datapoint
1520979609961,269,-0.04,-0.04,-0.04,60,7984344,datapoint
1520979609978,268,-0.04,-0.04,-0.04,61,8007528,datapoint
1520979609994,268,-0.04,-0.04,-0.04,63,8019728,datapoint
1520979610010,257,-0.04,-0.04,-0.04,64,8031924,datapoint
1520979610025,267,-0.04,-0.04,-0.04,66,8055128,datapoint
1520979610042,266,-0.04,-0.04,-0.04,67,8067348,datapoint
1520979610074,266,-0.04,-0.04,-0.04,69,8090548,datapoint
1520979610090,265,-0.04,-0.04,-0.04,72,8113728,datapoint
1520979610106,253,-0.04,-0.04,-0.04,73,8136928,datapoint
1520979610123,264,-0.04,-0.04,-0.04,75,8149132,datapoint
1520979610138,264,-0.04,-0.04,-0.04,76,8161352,datapoint
1520979610154,263,-0.04,-0.04,-0.04,77,8184548,datapoint
1520979610169,263,-0.04,-0.04,-0.04,78,8196744,datapoint
1520979610185,262,-0.04,-0.04,-0.04,80,8208952,datapoint
1520979610201,250,-0.04,-0.04,-0.04,81,8232160,datapoint
1520979610218,262,-0.04,-0.04,-0.04,83,8244360,datapoint
1520979610233,251,-0.04,-0.04,-0.04,84,8256564,datapoint
1520979610249,261,-0.04,-0.04,-0.04,86,8279744,datapoint
1520979610265,250,-0.04,-0.04,-0.04,87,8291944,datapoint
1520979610282,260,-0.04,-0.04,-0.04,89,8304136,datapoint
1520979610298,260,-0.04,-0.04,-0.04,90,8327348,datapoint
1520979610314,260,-0.04,-0.04,-0.04,92,8339544,datapoint
1520979610330,250,-0.04,-0.04,-0.04,93,8351752,datapoint
1520979610346,259,-0.04,-0.04,-0.04,95,8374940,datapoint
1520979610361,259,-0.04,-0.04,-0.04,96,8387140,datapoint
1520979610377,258,-0.04,-0.04,-0.04,97,8399336,datapoint
1520979610394,258,-0.04,-0.04,-0.04,99,8422576,datapoint
